seq,subj,item,cond,R1,R2,R3,R4,R5,R6
34,1,2,1,1542,3965,6411,568,1024,1015
29,1,4,1,1946,1764,1422,190,594,770
14,1,6,1,1757,1682,753,393,679,508
24,1,8,1,920,893,452,568,861,520
5,1,10,1,1165,504,741,608,963,653
17,1,12,1,1879,4195,980,684,454,527
26,1,14,1,1717,1375,1826,674,494,670
41,1,16,1,2328,850,2024,435,500,866
7,1,18,1,1773,1379,2486,1250,791,318
43,1,20,1,7396,1073,1005,224,917,893
39,1,22,1,1141,1203,1847,331,948,424
42,1,24,1,641,615,810,1981,464,1600
37,1,26,1,1192,1253,1171,969,992,598
23,1,28,1,2150,1949,1487,1034,659,1061
27,1,30,1,2476,1779,806,1167,890,1349
18,1,32,1,1333,2601,955,523,433,455
21,1,1,2,4852,3501,277,156,398,398
3,1,3,2,1410,1247,1650,1423,150,1451
19,1,5,2,2849,2195,1201,1024,913,811
32,1,7,2,847,128,395,732,497,278
11,1,9,2,1630,2650,5328,1421,491,509
28,1,11,2,6943,3965,890,555,469,636
38,1,13,2,2604,670,1411,1287,1051,598
9,1,15,2,909,624,1088,679,613,656
8,1,17,2,9118,3693,4217,1124,748,1673
10,1,19,2,1840,160,1265,931,685,745
36,1,21,2,4159,1084,538,656,896,443
1,1,23,2,3434,1954,1857,578,535,1146
2,1,25,2,2815,475,1673,1383,631,338
13,1,27,2,1986,1672,1394,180,644,647
40,1,29,2,2090,1485,421,1581,997,968
16,1,31,2,1311,809,429,590,481,644
14,2,1,1,230,172,165,1745,1338,948
36,2,3,1,2424,1280,1855,2223,2181,1738
20,2,5,1,1736,1115,1389,1019,860,826
2,2,7,1,2736,3071,1207,1546,1145,1189
16,2,9,1,1587,2134,1272,1402,810,959
8,2,11,1,2493,1986,1314,1020,393,868
22,2,13,1,3033,1211,207,1702,1013,2132
40,2,15,1,1043,1671,1154,1748,933,743
4,2,17,1,5749,1481,3143,1488,1390,1288
24,2,19,1,1276,2348,1537,996,905,2182
33,2,21,1,1426,2408,1777,1468,1695,1040
23,2,23,1,1138,1403,933,950,862,1391
35,2,25,1,2305,1338,1604,2204,1768,104
38,2,27,1,2197,1684,1203,281,1495,1797
30,2,29,1,6738,1981,1667,1541,1265,1367
5,2,31,1,1686,1566,1971,1100,1098,1301
28,2,2,2,1947,1449,2719,1480,1146,1086
12,2,4,2,2232,258,1778,2389,1796,1138
6,2,6,2,1554,1860,1635,1248,1201,572
10,2,8,2,1368,1619,1134,860,1881,1953
25,2,10,2,1205,291,1172,1699,1032,1045
39,2,12,2,1247,2198,2389,2202,1314,370
42,2,14,2,1645,1020,1146,2524,1171,835
41,2,16,2,2019,1151,167,1494,1009,1412
31,2,18,2,1050,1507,1066,1428,1288,847
19,2,20,2,1976,1240,1715,886,444,527
1,2,22,2,2172,3002,2028,1407,1486,1333
34,2,24,2,1769,1105,1279,1626,1266,816
9,2,26,2,2438,783,1233,289,1396,1648
32,2,28,2,4563,2849,897,137,1279,2870
27,2,30,2,2391,1558,1495,1693,2193,1208
18,2,32,2,1244,2195,2305,123,1236,833
40,3,2,1,2870,2024,1425,1150,1605,1048
1,3,4,1,2419,2554,1451,1600,917,2324
22,3,6,1,2598,1839,1561,1569,1400,1216
14,3,8,1,1280,1832,1303,832,1542,2594
18,3,10,1,2083,314,2990,1266,876,1223
13,3,12,1,1192,6036,3016,434,855,1371
24,3,14,1,1891,4020,564,2472,1031,870
9,3,16,1,2425,1474,1376,782,827,997
26,3,18,1,3600,289,523,2126,1027,1481
28,3,20,1,4678,1691,1152,863,900,1250
25,3,22,1,1845,1907,1573,790,1243,1780
20,3,24,1,2275,1910,781,1130,928,1220
4,3,26,1,2719,2273,2105,1331,1993,1705
6,3,28,1,3747,3481,2561,1539,1036,2554
32,3,30,1,2920,421,2011,225,1030,3367
5,3,32,1,1306,2955,286,783,889,1297
29,3,1,2,5020,1976,137,2348,1080,967
11,3,3,2,3275,1623,1865,1421,830,590
7,3,5,2,2448,2708,2496,1189,982,1068
34,3,7,2,2156,1626,1244,864,1418,1134
42,3,9,2,1520,1523,1195,760,1517,1025
33,3,11,2,2182,1525,1014,931,624,1196
27,3,13,2,3467,2971,1517,1402,1520,1489
37,3,15,2,1347,1221,182,769,1088,1415
21,3,17,2,1223,3048,1735,919,1122,2026
36,3,19,2,4184,1959,976,974,1625,1380
16,3,21,2,2585,2135,986,1611,1063,1323
3,3,23,2,2026,713,1456,1164,907,1237
10,3,25,2,2169,3607,1481,2296,801,1354
38,3,27,2,1456,1609,1710,1650,859,2120
31,3,29,2,2884,1268,1400,1818,1738,2853
39,3,31,2,1118,1775,1713,776,484,2059
18,4,1,1,5095,1508,135,1979,1262,1762
28,4,3,1,2084,1254,1750,1676,1523,1424
1,4,5,1,2949,1513,1321,1384,1188,1647
31,4,7,1,2642,2122,2555,2262,1204,2196
33,4,9,1,4195,1367,1070,927,1121,744
38,4,11,1,1641,1885,1368,1122,861,952
