seq,subj,item,cond,R1,R2,R3,R4,R5,R6
18,1,1,1,1488,1423,985,1671,896,164
16,1,3,1,1787,953,859,1923,1280,1255
14,1,5,1,5221,1112,1093,701,1327,1053
41,1,7,1,1522,2340,1229,82,1378,1275
11,1,9,1,1039,1496,694,185,389,1089
10,1,11,1,2163,1512,881,296,229,346
22,1,13,1,2898,1428,1915,1419,400,872
13,1,15,1,669,1590,1019,903,1117,250
24,1,17,1,906,140,1732,1159,2086,1917
37,1,19,1,2113,1866,,199,1409,1608
29,1,21,1,1613,1541,365,668,816,2164
35,1,23,1,1469,1753,1622,318,840,268
40,1,25,1,785,1671,2582,2370,663,1349
39,1,27,1,2400,1863,1308,349,850,1092
4,1,29,1,2839,780,1595,2219,558,208
38,1,31,1,1353,1826,1604,915,967,1459
33,1,2,2,1563,1886,1346,811,144,150
7,1,4,2,1984,2037,1644,1501,1471,900
5,1,6,2,1626,1728,2323,1778,1681,2380
26,1,8,2,751,1114,219,787,183,449
1,1,10,2,2533,1771,1307,1749,543,443
21,1,12,2,1258,1851,2006,1999,1372,479
9,1,14,2,591,,,176,1105,1120
28,1,16,2,1968,1195,1929,734,661,878
20,1,18,2,1586,1764,1182,363,1624,907
3,1,20,2,3242,1032,1258,1312,988,143
31,1,22,2,617,2480,1211,961,1686,1623
23,1,24,2,1916,1368,1952,882,359,942
30,1,26,2,1649,1090,175,1892,1282,864
32,1,28,2,3034,1833,2290,1286,905,204
25,1,30,2,1916,2222,1368,1875,1194,2055
36,1,32,2,995,1734,1673,1866,1025,877
13,2,1,1,1680,2222,540,2409,1499,116
5,2,3,1,2644,1417,2103,1882,1802,2028
15,2,5,1,1696,557,1444,1803,1550,1455
35,2,7,1,2471,1500,1811,1622,907,1903
10,2,9,1,1008,2595,1348,1757,1636,1370
32,2,11,1,1456,684,2218,2535,1607,1904
2,2,13,1,3190,1611,2725,4113,1880,1539
38,2,15,1,749,1244,137,1365,1582,967
27,2,17,1,1193,1593,2202,1208,1169,2206
1,2,19,1,2893,605,2485,1270,1592,2026
3,2,21,1,2834,2218,2543,2256,1560,2101
23,2,23,1,673,1277,1564,1316,1270,1617
7,2,25,1,1970,2102,3252,3289,1426,1239
41,2,27,1,1051,1564,2253,1729,943,1787
37,2,29,1,2063,1662,1547,1738,1668,1173
20,2,31,1,1375,1340,1773,309,1356,1562
29,2,2,2,2260,1669,2839,2154,2433,1245
25,2,4,2,1258,2477,1514,2142,1361,1424
39,2,6,2,1459,1555,2235,1739,2070,1057
43,2,8,2,1104,1852,1599,1218,1915,2043
21,2,10,2,1009,1295,1660,1491,1460,785
34,2,12,2,1174,2659,1350,2024,1587,890
8,2,14,2,1826,1939,2635,2592,1480,833
17,2,16,2,2240,2061,2658,1803,1168,1414
42,2,18,2,2333,2504,2520,2596,1317,1788
33,2,20,2,2052,1783,1935,1783,1614,819
31,2,22,2,1453,1933,2003,1577,1353,83
9,2,24,2,2369,1891,1838,2966,819,1775
4,2,26,2,1906,2102,2175,2910,1822,1499
12,2,28,2,2194,1640,2271,2108,2079,1986
28,2,30,2,1710,1883,2141,1692,440,2267
24,2,32,2,1256,2620,1693,1643,1184,1173
23,3,1,1,2068,339,147,1440,887,739
5,3,3,1,1666,1965,1857,1215,1200,2295
31,3,5,1,1299,1251,621,1091,732,749
10,3,7,1,1571,1138,1750,1351,923,360
40,3,9,1,1574,2222,1350,1284,1069,1083
39,3,11,1,1698,238,975,1059,713,855
15,3,13,1,1375,1466,1752,2256,1059,842
1,3,15,1,986,1062,1589,1955,1466,1321
28,3,17,1,1199,1011,1544,962,925,1973
42,3,19,1,1584,1686,1607,160,948,1379
12,3,21,1,1256,1736,1387,1293,1312,1004
8,3,23,1,,151,1610,147,1043,974
36,3,25,1,1448,455,139,1522,513,969
22,3,27,1,1488,1262,1107,1721,970,1456
4,3,29,1,2819,135,2411,158,1049,1453
7,3,31,1,1183,151,146,731,928,1322
25,3,2,2,1400,2188,2164,2822,1433,1090
16,3,4,2,1953,2538,1328,2474,1237,1073
29,3,6,2,1466,1521,1783,1251,820,825
20,3,8,2,1014,2085,1642,296,1253,2244
33,3,10,2,1252,448,1579,294,1155,1571
3,3,12,2,1944,3996,1495,155,1025,229
37,3,14,2,861,911,1455,1208,1531,604
19,3,16,2,1061,165,2286,1434,847,1032
2,3,18,2,1048,1646,741,843,293,132
35,3,20,2,1534,1556,1564,360,796,814
38,3,22,2,1212,2222,1407,978,1435,1167
14,3,24,2,1612,892,1207,1883,845,890
27,3,26,2,1811,1302,1236,1190,638,1275
18,3,28,2,1862,1227,1526,1782,1195,2482
13,3,30,2,1578,3173,1543,1574,1251,243
9,3,32,2,929,1658,1040,1034,928,723
27,4,1,1,4727,2432,1836,1590,1192,937
35,4,3,1,1613,884,2043,1267,972,1893
4,4,5,1,3182,2512,1323,1333,1070,1038
14,4,7,1,1348,1950,2073,116,976,1401
24,4,9,1,1201,2180,1138,1561,1048,2087
6,4,11,1,3949,471,1958,1394,1012,1791
3,4,13,1,2226,2727,1924,2314,1609,1232
19,4,15,1,1683,1538,1435,1492,1076,2417
13,4,17,1,5694,2280,2252,956,1169,1292
26,4,19,1,1627,3376,3093,956,1128,2419
32,4,21,1,2209,2532,1606,2824,1185,1752
16,4,23,1,1525,1310,1439,192,1270,2241
2,4,25,1,2009,92,2490,2637,1263,1903
8,4,27,1,1441,1829,1411,2272,960,1645
23,4,29,1,2518,2016,1771,1544,1295,2789
12,4,31,1,3777,3519,2428,1236,925,2373
33,4,2,2,2333,1520,2116,1561,1662,1075
10,4,4,2,1680,2155,1300,1615,1438,1753
41,4,6,2,1599,1317,1389,2236,2045,1138
20,4,8,2,931,1645,294,1043,1725,1887
37,4,10,2,1040,1134,1064,1077,1358,1742
18,4,12,2,1903,2980,3917,904,1386,725
29,4,14,2,1861,999,1108,1167,1153,2116
17,4,16,2,4116,1812,2195,1532,1058,1676
31,4,18,2,1891,2895,3438,2522,1057,1115
30,4,20,2,2262,,2001,2170,306,1602
1,4,22,2,1419,2049,2406,1486,3602,1055
39,4,24,2,1436,1728,1497,1861,890,952
9,4,26,2,3178,3186,3787,1193,2617,582
