seq,subj,item,cond,R1,R2,R3,R4,R5,R6
11,1,1,1,1,0,0,0,1,0
21,1,3,1,0,1,1,0,0,0
2,1,5,1,0,0,0,0,0,0
19,1,7,1,1,1,0,1,0,0
33,1,9,1,1,0,0,0,0,0
1,1,11,1,0,0,0,0,0,0
9,1,13,1,1,1,0,0,0,0
36,1,15,1,0,0,0,0,0,0
24,1,17,1,1,0,1,1,0,0
39,1,19,1,1,1,0,0,0,0
25,1,21,1,0,0,0,1,1,0
10,1,23,1,0,0,0,0,1,0
42,1,25,1,1,0,0,0,0,0
7,1,27,1,0,1,1,1,0,0
6,1,29,1,1,1,0,1,1,0
27,1,31,1,0,0,0,0,1,0
13,1,2,2,1,0,0,1,1,0
15,1,4,2,1,1,0,1,0,0
40,1,6,2,0,1,0,0,0,0
30,1,8,2,1,1,0,0,0,0
37,1,10,2,1,1,1,0,1,0
23,1,12,2,1,1,0,0,0,0
28,1,14,2,1,1,0,0,0,0
5,1,16,2,0,0,0,0,0,0
8,1,18,2,1,1,0,1,0,0
32,1,20,2,1,1,0,0,0,0
18,1,22,2,1,0,1,0,1,0
29,1,24,2,0,0,0,1,0,0
4,1,26,2,1,0,0,0,0,0
17,1,28,2,1,1,1,0,0,0
26,1,30,2,1,1,0,0,0,0
35,1,32,2,1,0,0,0,1,0
36,2,2,1,0,0,0,0,0,0
6,2,4,1,0,0,0,0,0,0
24,2,6,1,0,0,0,0,0,0
1,2,8,1,0,0,0,0,1,0
10,2,10,1,0,0,0,0,0,0
40,2,12,1,0,0,0,0,0,0
21,2,14,1,0,0,0,0,0,0
29,2,16,1,0,0,0,0,1,0
14,2,18,1,0,0,0,0,0,0
26,2,20,1,0,0,0,1,0,0
19,2,22,1,0,0,0,0,0,0
28,2,24,1,0,0,0,0,0,0
12,2,26,1,0,0,0,0,0,0
33,2,28,1,0,0,0,0,0,0
15,2,30,1,0,0,1,0,1,0
27,2,32,1,0,0,0,0,0,0
17,2,1,2,0,0,0,0,0,0
8,2,3,2,0,0,0,0,0,0
41,2,5,2,0,0,0,0,0,0
22,2,7,2,0,0,0,0,0,0
3,2,9,2,1,0,0,0,0,0
31,2,11,2,0,0,0,0,0,0
30,2,13,2,0,0,0,0,1,0
34,2,15,2,0,1,0,0,0,0
5,2,17,2,0,0,0,0,0,0
39,2,19,2,0,0,0,0,0,0
38,2,21,2,0,0,0,0,0,0
16,2,23,2,0,0,0,0,0,0
13,2,25,2,0,0,0,0,0,0
20,2,27,2,0,0,0,0,0,0
32,2,29,2,1,0,0,0,0,0
35,2,31,2,0,0,0,0,0,0
18,3,2,1,1,0,0,0,0,0
41,3,4,1,0,0,0,0,0,0
1,3,6,1,0,0,0,0,1,0
16,3,8,1,0,0,0,0,0,0
31,3,10,1,0,0,0,0,0,0
4,3,12,1,0,0,0,0,0,0
40,3,14,1,1,1,0,0,0,0
24,3,16,1,0,0,0,0,0,0
34,3,18,1,0,0,0,0,0,0
12,3,20,1,1,0,0,0,0,0
35,3,22,1,0,1,0,0,0,0
23,3,24,1,0,0,0,0,0,0
20,3,26,1,0,1,1,1,0,0
15,3,28,1,1,1,0,0,0,0
38,3,30,1,0,1,0,0,0,0
28,3,32,1,0,1,0,0,0,0
21,3,1,2,1,0,0,0,0,0
8,3,3,2,0,0,0,0,0,0
29,3,5,2,0,0,0,0,0,0
5,3,7,2,1,0,0,0,0,0
13,3,9,2,0,0,1,0,0,0
7,3,11,2,1,0,0,0,0,0
26,3,13,2,1,1,0,0,0,0
10,3,15,2,1,0,0,0,0,0
33,3,17,2,1,1,0,0,0,0
3,3,19,2,0,0,0,0,0,0
37,3,21,2,0,0,0,0,0,0
25,3,23,2,0,1,0,0,0,0
11,3,25,2,0,1,1,1,0,0
36,3,27,2,0,0,0,0,0,0
27,3,29,2,0,0,0,0,0,0
39,3,31,2,1,1,1,1,0,0
21,4,1,1,0,1,0,0,0,0
41,4,3,1,0,0,0,0,0,0
34,4,5,1,1,1,0,0,0,0
10,4,7,1,1,1,0,0,0,0
24,4,9,1,0,1,0,0,0,0
8,4,11,1,1,1,0,0,0,0
15,4,13,1,0,1,0,0,0,0
23,4,15,1,0,0,0,0,0,0
17,4,17,1,1,0,1,0,1,0
20,4,19,1,1,1,0,0,0,0
30,4,21,1,0,0,0,0,0,0
1,4,23,1,0,1,1,0,1,0
4,4,25,1,0,1,1,0,0,0
7,4,27,1,1,1,0,0,1,0
38,4,29,1,1,1,0,0,0,0
14,4,31,1,1,0,0,0,0,0
31,4,2,2,0,0,0,0,0,0
12,4,4,2,0,1,0,0,1,0
28,4,6,2,0,1,0,0,0,0
5,4,8,2,0,0,0,0,0,0
18,4,10,2,1,0,0,0,0,0
40,4,12,2,0,0,0,1,0,0
9,4,14,2,0,1,1,0,0,0
16,4,16,2,0,1,0,0,0,0
37,4,18,2,0,0,0,0,0,0
2,4,20,2,0,0,0,1,0,0
36,4,22,2,0,0,0,0,0,0
27,4,24,2,1,1,1,0,0,0
33,4,26,2,0,0,0,0,0,0
39,4,28,2,1,1,0,0,0,0
3,4,30,2,0,1,0,0,0,0
26,4,32,2,1,1,0,0,1,0
35,5,2,1,0,1,0,1,0,0
13,5,4,1,0,1,1,0,1,0
19,5,6,1,1,0,0,0,0,0
28,5,8,1,0,0,0,1,0,0
31,5,10,1,0,0,0,0,0,0
38,5,12,1,1,1,0,0,0,0
34,5,14,1,1,0,0,0,0,0
30,5,16,1,1,0,0,0,0,0
27,5,18,1,0,0,0,0,0,0
23,5,20,1,0,0,0,0,0,0
39,5,22,1,0,0,0,0,0,0
4,5,24,1,1,1,0,0,0,0
18,5,26,1,0,0,0,0,0,0
26,5,28,1,1,1,1,0,0,0
17,5,30,1,0,0,0,0,0,0
5,5,32,1,0,1,0,0,0,0
15,5,1,2,1,1,0,1,0,0
9,5,3,2,1,1,1,0,0,0
1,5,5,2,0,1,1,0,0,0
40,5,7,2,1,1,1,0,0,0
6,5,9,2,1,0,0,0,0,0
24,5,11,2,1,1,1,0,0,0
42,5,13,2,1,1,0,1,1,0
11,5,15,2,1,0,0,0,0,0
8,5,17,2,0,0,0,0,0,0
21,5,19,2,1,1,1,0,0,0
3,5,21,2,1,0,1,1,1,0
33,5,23,2,1,1,0,0,1,0
37,5,25,2,1,0,1,0,0,0
12,5,27,2,0,0,0,1,1,0
25,5,29,2,0,0,0,0,0,0
22,5,31,2,0,1,1,0,0,0
22,6,2,1,1,1,0,0,0,0
35,6,4,1,1,0,0,0,1,0
9,6,6,1,0,0,0,0,0,0
3,6,8,1,1,0,0,0,0,0
12,6,10,1,0,0,0,0,0,0
6,6,12,1,1,0,0,0,0,0
37,6,14,1,1,0,0,0,0,0
1,6,16,1,1,0,0,0,0,0
24,6,18,1,1,1,0,1,0,0
5,6,20,1,0,1,0,1,1,0
14,6,22,1,1,1,1,1,1,0
11,6,24,1,0,0,0,0,0,0
43,6,26,1,1,0,0,0,0,0
39,6,28,1,1,0,0,0,0,0
15,6,30,1,1,1,0,0,0,0
29,6,32,1,0,0,0,0,0,0
7,6,1,2,1,1,1,0,0,0
27,6,3,2,0,0,0,0,0,0
40,6,5,2,0,0,0,0,0,0
30,6,7,2,1,1,0,0,0,0
19,6,9,2,1,1,0,1,0,0
26,6,11,2,0,0,0,0,0,0
21,6,13,2,1,1,0,0,1,0
25,6,15,2,0,0,0,0,0,0
17,6,17,2,0,0,0,1,1,0
34,6,19,2,0,0,0,0,0,0
16,6,21,2,0,0,1,0,0,0
32,6,23,2,1,0,0,0,0,0
33,6,25,2,0,0,0,0,0,0
38,6,27,2,0,0,1,0,0,0
42,6,29,2,0,0,0,0,0,0
18,6,31,2,0,1,0,1,0,0
16,7,2,1,1,1,0,0,0,0
7,7,4,1,1,0,0,0,0,0
42,7,6,1,1,0,0,0,0,0
12,7,8,1,1,1,0,0,0,0
1,7,10,1,1,0,0,1,0,0
23,7,12,1,1,0,0,0,0,0
18,7,14,1,1,0,0,0,0,0
38,7,16,1,0,0,0,0,0,0
19,7,18,1,0,0,0,0,0,0
5,7,20,1,1,1,0,0,0,0
40,7,22,1,1,1,1,0,0,0
9,7,24,1,1,0,0,1,0,0
30,7,26,1,0,0,0,0,0,0
39,7,28,1,1,0,0,0,0,0
32,7,30,1,0,0,0,0,0,0
6,7,32,1,0,0,0,0,0,0
20,7,1,2,1,0,0,0,0,0
35,7,3,2,0,0,0,0,0,0
27,7,5,2,1,0,0,0,0,0
3,7,7,2,1,0,0,0,1,0
24,7,9,2,0,0,0,0,0,0
29,7,11,2,0,0,0,0,0,0
15,7,13,2,1,0,0,0,0,0
41,7,15,2,1,0,0,0,0,0
33,7,17,2,1,0,1,0,0,0
10,7,19,2,1,0,0,0,0,0
11,7,21,2,1,0,0,0,0,0
26,7,23,2,0,0,0,0,0,0
31,7,25,2,0,0,0,0,0,0
14,7,27,2,1,0,0,0,0,0
34,7,29,2,0,0,0,0,0,0
37,7,31,2,1,0,1,0,0,0
7,8,2,1,1,1,0,0,0,0
1,8,4,1,1,0,0,0,0,0
41,8,6,1,0,0,1,0,0,0
3,8,8,1,1,1,0,0,0,0
28,8,10,1,1,0,0,0,0,0
43,8,12,1,1,0,0,0,0,0
11,8,14,1,1,1,0,0,0,0
39,8,16,1,1,1,0,0,0,0
36,8,18,1,1,1,1,1,0,0
26,8,20,1,0,0,0,0,0,0
20,8,22,1,1,1,0,0,0,0
16,8,24,1,1,0,1,0,0,0
24,8,26,1,0,0,0,0,0,0
45,8,28,1,1,1,0,0,0,0
14,8,30,1,1,1,0,0,1,0
23,8,32,1,1,0,0,0,0,0
30,8,1,2,1,0,0,0,0,0
21,8,3,2,1,1,1,0,0,0
5,8,5,2,1,0,0,0,1,0
9,8,7,2,1,0,0,0,0,0
32,8,9,2,1,1,1,0,0,0
15,8,11,2,1,1,0,0,1,0
18,8,13,2,0,0,0,0,0,0
12,8,15,2,1,1,0,0,1,0
44,8,17,2,1,0,0,0,0,0
17,8,19,2,1,0,1,0,0,0
25,8,21,2,0,1,0,0,0,0
34,8,23,2,1,0,0,0,0,0
35,8,25,2,0,0,0,0,0,0
37,8,27,2,1,0,1,0,0,0
38,8,29,2,1,0,1,0,0,0
13,8,31,2,1,1,1,0,0,0
11,9,2,1,1,1,0,0,0,0
8,9,4,1,1,1,0,0,0,0
13,9,6,1,0,0,0,0,0,0
44,9,8,1,0,0,0,0,0,0
4,9,10,1,1,0,0,1,0,0
10,9,12,1,1,0,0,0,0,0
15,9,14,1,0,0,0,0,0,0
29,9,16,1,0,0,0,0,0,0
36,9,18,1,0,0,0,0,0,0
31,9,20,1,1,1,0,0,0,0
43,9,22,1,1,0,1,0,0,0
32,9,24,1,0,0,0,0,0,0
17,9,26,1,0,0,0,0,0,0
16,9,28,1,0,0,0,0,0,0
28,9,30,1,0,0,0,0,0,0
33,9,32,1,0,0,0,0,0,0
20,9,1,2,1,1,0,0,0,0
6,9,3,2,0,0,0,0,0,0
23,9,5,2,0,0,0,0,0,0
41,9,7,2,1,0,0,0,0,0
25,9,9,2,1,0,0,1,0,0
34,9,11,2,1,0,0,0,0,0
27,9,13,2,0,1,1,0,0,0
18,9,15,2,1,0,0,0,0,0
35,9,17,2,1,1,0,0,0,0
3,9,19,2,0,0,0,1,0,0
38,9,21,2,0,0,0,0,0,0
19,9,23,2,0,0,0,0,0,0
40,9,25,2,1,0,0,0,0,0
