seq,subj,item,cond,R1,R2,R3,R4,R5,R6
34,1,2,1,1,1,0,0,1,0
29,1,4,1,1,1,0,0,0,0
14,1,6,1,1,1,0,1,1,0
24,1,8,1,1,1,1,0,0,0
5,1,10,1,1,1,1,0,1,0
17,1,12,1,1,0,1,1,1,0
26,1,14,1,1,1,0,0,1,0
41,1,16,1,1,1,1,0,0,0
7,1,18,1,1,0,1,1,1,0
43,1,20,1,0,0,1,1,0,0
39,1,22,1,1,1,1,1,0,0
42,1,24,1,1,1,1,1,0,0
37,1,26,1,0,1,0,0,0,0
23,1,28,1,1,1,0,0,1,0
27,1,30,1,1,1,0,1,0,0
18,1,32,1,1,1,0,1,1,0
21,1,1,2,1,1,1,1,1,0
3,1,3,2,1,1,0,1,1,0
19,1,5,2,0,0,1,0,0,0
32,1,7,2,1,1,1,1,1,0
11,1,9,2,1,1,1,1,0,0
28,1,11,2,1,1,0,0,1,0
38,1,13,2,1,1,0,0,1,0
9,1,15,2,1,1,0,0,0,0
8,1,17,2,1,1,1,1,0,0
10,1,19,2,1,1,1,0,0,0
36,1,21,2,0,1,0,0,0,0
1,1,23,2,1,0,1,0,1,0
2,1,25,2,1,1,0,1,0,0
13,1,27,2,1,0,1,1,0,0
40,1,29,2,1,0,1,0,1,0
16,1,31,2,1,1,0,1,1,0
14,2,1,1,1,1,1,1,0,0
36,2,3,1,0,0,1,0,0,0
20,2,5,1,0,1,1,0,0,0
2,2,7,1,1,1,1,0,1,0
16,2,9,1,0,0,0,0,0,0
8,2,11,1,0,0,1,1,0,0
22,2,13,1,1,0,0,0,1,0
40,2,15,1,1,1,1,1,0,0
4,2,17,1,0,1,0,0,0,0
24,2,19,1,0,0,0,1,0,0
33,2,21,1,0,0,0,1,0,0
23,2,23,1,0,0,0,1,1,0
35,2,25,1,1,1,0,0,1,0
38,2,27,1,0,0,1,1,0,0
30,2,29,1,0,0,0,0,1,0
5,2,31,1,0,1,0,0,1,0
28,2,2,2,0,1,0,1,1,0
12,2,4,2,1,1,0,0,0,0
6,2,6,2,1,0,1,0,0,0
10,2,8,2,0,1,0,1,1,0
25,2,10,2,1,0,0,0,1,0
39,2,12,2,0,0,1,0,1,0
42,2,14,2,1,0,1,0,0,0
41,2,16,2,0,1,0,1,1,0
31,2,18,2,0,0,0,1,0,0
19,2,20,2,0,0,0,1,1,0
1,2,22,2,1,1,1,0,0,0
34,2,24,2,0,1,1,1,1,0
9,2,26,2,1,0,1,0,1,0
32,2,28,2,0,0,1,1,1,0
27,2,30,2,1,0,1,0,0,0
18,2,32,2,1,1,1,0,0,0
40,3,2,1,1,0,0,0,0,0
1,3,4,1,0,0,0,0,1,0
22,3,6,1,1,1,0,0,0,0
14,3,8,1,0,0,1,0,1,0
18,3,10,1,1,0,0,0,0,0
13,3,12,1,1,0,1,0,0,0
24,3,14,1,1,1,0,0,0,0
9,3,16,1,0,0,0,0,0,0
