seq,subj,item,cond,R1,R2,R3,R4,R5,R6
18,1,1,1,1,0,0,0,1,0
16,1,3,1,1,0,1,0,0,0
14,1,5,1,0,0,0,0,0,0
41,1,7,1,1,0,1,0,0,0
11,1,9,1,0,0,1,1,0,0
10,1,11,1,0,0,1,1,0,0
22,1,13,1,1,0,0,1,0,0
13,1,15,1,1,1,0,1,1,0
24,1,17,1,1,0,0,0,1,0
37,1,19,1,1,1,1,0,1,0
29,1,21,1,0,1,0,0,0,0
35,1,23,1,0,1,1,0,1,0
40,1,25,1,0,0,0,0,0,0
39,1,27,1,0,0,1,1,0,0
4,1,29,1,1,0,0,1,1,0
38,1,31,1,0,0,0,0,1,0
33,1,2,2,1,0,0,1,1,0
7,1,4,2,1,1,0,0,0,0
5,1,6,2,0,0,0,0,0,0
26,1,8,2,1,1,1,1,1,0
1,1,10,2,0,0,1,1,1,0
21,1,12,2,1,1,0,1,0,0
9,1,14,2,1,1,1,0,1,0
28,1,16,2,1,0,0,0,1,0
20,1,18,2,0,1,1,1,1,0
3,1,20,2,0,1,1,1,1,0
31,1,22,2,0,0,0,0,0,0
23,1,24,2,1,1,1,1,0,0
30,1,26,2,1,1,1,1,1,0
32,1,28,2,1,0,1,1,1,0
25,1,30,2,0,1,1,0,1,0
36,1,32,2,0,0,0,1,1,0
13,2,1,1,0,1,0,0,1,0
5,2,3,1,0,0,0,0,0,0
15,2,5,1,1,1,0,0,0,0
35,2,7,1,0,0,0,0,0,0
10,2,9,1,0,0,0,0,0,0
32,2,11,1,1,0,0,0,0,0
2,2,13,1,1,1,0,0,0,0
38,2,15,1,1,0,0,0,0,0
27,2,17,1,0,0,1,0,0,0
1,2,19,1,1,1,0,0,0,0
3,2,21,1,0,0,0,0,0,0
23,2,23,1,1,0,0,0,0,0
7,2,25,1,0,0,0,0,0,0
41,2,27,1,1,1,0,0,0,0
37,2,29,1,0,0,0,0,0,0
20,2,31,1,1,0,1,0,0,0
29,2,2,2,0,0,0,0,0,0
25,2,4,2,1,1,0,0,0,0
39,2,6,2,0,1,0,0,0,0
43,2,8,2,1,0,0,0,0,0
21,2,10,2,1,1,0,0,0,0
34,2,12,2,0,0,0,0,0,0
8,2,14,2,1,0,0,0,0,0
