seq,subj,item,cond,R1,R2,R3,R4,R5,R6
11,1,2,1,4146,3636,2240,1702,1852,2652
36,1,4,1,1144,7022,4155,2025,1343,2118
15,1,6,1,1609,2870,8630,1627,1462,993
23,1,8,1,860,1345,1744,1295,1543,1720
30,1,10,1,1402,2748,963,1377,1454,1988
40,1,12,1,1067,4051,7003,3260,1171,700
42,1,14,1,1562,1276,1282,1535,1472,1435
29,1,16,1,2043,1937,2113,1316,1041,4050
4,1,18,1,1856,2632,3342,1506,1118,1791
41,1,20,1,5388,2390,7479,1729,1327,3197
39,1,22,1,846,1289,1568,1503,2064,1234
13,1,24,1,2148,2009,2164,1844,952,2336
6,1,26,1,2498,7868,2514,1981,1552,4198
21,1,28,1,2953,1829,4404,2034,2307,3937
14,1,30,1,2492,5885,2435,5175,1902,2275
35,1,32,1,1227,2924,1379,1932,1128,6001
27,1,1,2,1885,5162,1361,2053,1470,5235
7,1,3,2,2290,1829,1174,2269,1878,5364
1,1,5,2,4533,1989,1698,2706,1135,2435
9,1,7,2,1234,3314,2263,2509,1334,2070
18,1,9,2,3547,1944,1476,1568,5394,6828
32,1,11,2,1183,2638,1454,1645,1061,1801
20,1,13,2,2188,2512,6879,2207,1438,1281
25,1,15,2,1028,1592,2297,1986,1433,2366
34,1,17,2,1341,2724,1472,1513,2020,2042
5,1,19,2,2019,2082,2106,1428,1574,3682
26,1,21,2,2873,1582,1772,2580,1258,2450
38,1,23,2,2156,1853,1224,1605,1989,2190
22,1,25,2,1679,1119,1430,1526,2085,1317
3,1,27,2,2323,2115,2544,3179,2020,5410
33,1,29,2,1677,2616,3056,3850,2259,2052
17,1,31,2,1312,2245,6506,1599,2778,1428
2,2,2,1,2993,2423,3045,1245,2472,1467
5,2,4,1,2592,2259,2228,1737,1034,1596
40,2,6,1,1063,2838,1387,1896,1227,1202
33,2,8,1,780,1155,1191,799,1473,2542
10,2,10,1,1582,1907,1399,1317,1253,846
24,2,12,1,982,1576,2022,1886,1402,599
19,2,14,1,2107,3248,2090,1725,1474,1749
13,2,16,1,1578,3458,2491,1442,656,1078
28,2,18,1,1244,1683,2028,1237,981,823
26,2,20,1,1450,1783,1500,1010,1593,1746
9,2,22,1,1496,2422,1774,1062,1442,1243
22,2,24,1,1227,1409,1142,2289,574,1994
25,2,26,1,1507,2212,1749,1250,1348,1008
42,2,28,1,2229,1376,2492,1282,1042,2320
4,2,30,1,1795,2232,1980,2143,2349,1472
32,2,32,1,1001,2276,1309,766,613,614
7,2,1,2,1671,1656,868,1150,1310,1079
38,2,3,2,977,858,1192,974,1058,925
35,2,5,2,3583,1809,1506,873,1365,664
20,2,7,2,1687,1632,1649,2173,1173,985
29,2,9,2,1030,1238,1165,854,3763,836
27,2,11,2,1481,4324,1747,1077,895,1440
14,2,13,2,2130,1800,1287,1627,1630,1705
12,2,15,2,978,1313,851,939,913,1002
16,2,17,2,1360,2635,1357,2205,1258,1632
17,2,19,2,2732,3812,1488,1491,1200,3033
18,2,21,2,1438,1926,912,1499,1361,1291
37,2,23,2,1113,969,812,957,756,1513
23,2,25,2,1341,1436,1429,1959,679,1316
15,2,27,2,2546,1723,2256,1721,1021,1487
1,2,29,2,1892,2502,2265,2673,1232,1399
31,2,31,2,859,2260,3093,3218,886,970
18,3,2,1,1091,1530,1050,1605,808,886
36,3,4,1,1163,1568,1661,1364,728,574
26,3,6,1,1629,981,1883,796,657,800
