seq,subj,item,cond,R1,R2,R3,R4,R5
11,1,1,1,295,,,,502
21,1,3,1,,607,193,,
2,1,5,1,,,,,
19,1,7,1,1105,1230,869,1331,871
33,1,9,1,916,528,,,
1,1,11,1,,,,,
9,1,13,1,850,844,719,,
36,1,15,1,,,,,
24,1,17,1,573,1044,970,465,823
39,1,19,1,724,1046,795,,
25,1,21,1,,,,893,519
10,1,23,1,,,,,345
42,1,25,1,350,,,,
7,1,27,1,,419,130,550,
6,1,29,1,1305,884,955,675,965
27,1,31,1,,,,,193
13,1,2,2,1526,1397,2161,1332,3300
15,1,4,2,297,1270,573,914,
40,1,6,2,,829,,,
30,1,8,2,858,389,877,423,500
37,1,10,2,515,791,1764,158,506
23,1,12,2,1874,1433,991,1535,614
28,1,14,2,94,721,,,
5,1,16,2,,,,,
8,1,18,2,394,433,459,956,862
32,1,20,2,801,617,,,
18,1,22,2,961,190,419,,236
29,1,24,2,,,,614,
4,1,26,2,1296,1586,1357,,
17,1,28,2,451,522,1679,,
26,1,30,2,1796,1367,996,144,
35,1,32,2,938,101,,,150
36,2,2,1,,,,,
6,2,4,1,,,,,
24,2,6,1,,,,,
1,2,8,1,,,,,608
10,2,10,1,,,,,
40,2,12,1,,,,,
21,2,14,1,,,,,
29,2,16,1,,,,,121
14,2,18,1,,,,,
26,2,20,1,,,,484,
19,2,22,1,,,,,
28,2,24,1,,,,,
12,2,26,1,,,,,
33,2,28,1,,,,,
15,2,30,1,,,657,,874
27,2,32,1,,,,,
17,2,1,2,,,,,
8,2,3,2,,,,,
41,2,5,2,,,,,
22,2,7,2,,,,,
3,2,9,2,423,1071,787,,
31,2,11,2,,,,,
30,2,13,2,,,,,1225
34,2,15,2,,180,,,
5,2,17,2,,,,,
39,2,19,2,,,,,
38,2,21,2,,,,,
16,2,23,2,,,,,
13,2,25,2,,,,,
20,2,27,2,,,,,
32,2,29,2,2260,,,,
35,2,31,2,,,,,
18,3,2,1,3286,,,,
41,3,4,1,,,,,
1,3,6,1,,,,,337
16,3,8,1,,,,,
31,3,10,1,,,,,
4,3,12,1,,,,,
40,3,14,1,1056,809,1250,,
24,3,16,1,,,,,
34,3,18,1,,,,,
12,3,20,1,1918,131,,,
35,3,22,1,,1742,,,
23,3,24,1,,,,,
20,3,26,1,,886,716,113,
15,3,28,1,405,1315,597,248,293
38,3,30,1,,1418,,,
28,3,32,1,,746,,,
21,3,1,2,1167,,,,
8,3,3,2,,,,,
29,3,5,2,,,,,
5,3,7,2,302,,,,
13,3,9,2,,,430,,
7,3,11,2,93,,,,
26,3,13,2,603,803,,431,
10,3,15,2,426,,,,
33,3,17,2,1192,150,118,,
3,3,19,2,556,,,,
37,3,21,2,325,,,,
25,3,23,2,,555,,,
11,3,25,2,,142,182,2564,
36,3,27,2,,,,,
27,3,29,2,,,,,
39,3,31,2,942,1599,2855,1667,
21,4,1,1,,212,,,
41,4,3,1,,,,,
34,4,5,1,600,271,,,
10,4,7,1,270,141,,,
24,4,9,1,,211,,,
8,4,11,1,394,181,,,
15,4,13,1,,1227,256,,
23,4,15,1,,,,,
17,4,17,1,278,365,364,,146
20,4,19,1,118,199,,,
30,4,21,1,,,,,
1,4,23,1,,128,259,,339
4,4,25,1,,282,251,,
7,4,27,1,507,139,,,319
38,4,29,1,143,210,,,
14,4,31,1,137,,,,
31,4,2,2,,,,,
12,4,4,2,,118,,,190
28,4,6,2,,188,,,
5,4,8,2,,,,,
18,4,10,2,165,,,,
40,4,12,2,160,,,431,
9,4,14,2,,668,469,175,
16,4,16,2,,146,,,
37,4,18,2,,,,,
2,4,20,2,,,,982,
36,4,22,2,,,,,
27,4,24,2,1065,724,219,,
33,4,26,2,,,,,
39,4,28,2,488,624,,,
3,4,30,2,,86,,,
26,4,32,2,561,774,912,,504
35,5,2,1,,89,,145,
13,5,4,1,,3201,1944,738,2152
19,5,6,1,328,132,,,153
28,5,8,1,,,,153,1422
31,5,10,1,,,,,
38,5,12,1,607,157,,,
34,5,14,1,532,1101,,,
30,5,16,1,429,,,,
27,5,18,1,,,,,
23,5,20,1,297,,,,
39,5,22,1,,,,,
4,5,24,1,2288,2283,1451,,
18,5,26,1,,,,,
26,5,28,1,7087,550,171,,
17,5,30,1,,,,,
5,5,32,1,1966,4690,,,
15,5,1,2,1538,293,,108,
9,5,3,2,223,2018,200,,
1,5,5,2,,2800,3870,,
40,5,7,2,422,756,414,,
6,5,9,2,1195,610,,,
24,5,11,2,1480,1021,827,,
42,5,13,2,2206,1075,,161,1907
11,5,15,2,2723,,,,
8,5,17,2,,,,,
21,5,19,2,354,1216,1165,,
3,5,21,2,286,,1250,1873,667
33,5,23,2,569,946,,,1082
37,5,25,2,252,,657,,
12,5,27,2,,,,306,716
25,5,29,2,,,,,
22,5,31,2,,97,151,,
22,6,2,1,1393,2290,,,
35,6,4,1,658,1233,1147,,616
9,6,6,1,,,,,
3,6,8,1,466,,,,
12,6,10,1,,,,,
6,6,12,1,1849,1751,,,
37,6,14,1,783,643,996,739,358
1,6,16,1,539,859,1364,2184,603
24,6,18,1,522,1295,516,1393,800
5,6,20,1,,1162,,1623,831
14,6,22,1,144,204,326,1190,821
11,6,24,1,,,,,
43,6,26,1,606,,,,
39,6,28,1,1026,545,1052,173,
15,6,30,1,414,1839,1032,,
29,6,32,1,,,,,
7,6,1,2,590,446,208,,
27,6,3,2,,,,,
40,6,5,2,,,,,
30,6,7,2,195,197,,,
19,6,9,2,439,813,744,873,567
26,6,11,2,,,,,
21,6,13,2,405,293,,,612
25,6,15,2,,,,,
17,6,17,2,,,,528,918
34,6,19,2,,,,,
16,6,21,2,,,505,,
32,6,23,2,463,517,238,423,
33,6,25,2,,,,,
38,6,27,2,,,343,,
42,6,29,2,,,,,
18,6,31,2,,329,,772,
16,7,2,1,139,410,,,
7,7,4,1,207,,,,
42,7,6,1,774,,,,
12,7,8,1,865,1229,865,672,
1,7,10,1,329,,,160,
23,7,12,1,303,,,,
18,7,14,1,2035,,,,
38,7,16,1,,,,,
19,7,18,1,,,,,
5,7,20,1,342,208,,,
40,7,22,1,445,1073,811,,
9,7,24,1,1293,,,190,
30,7,26,1,,,,,
39,7,28,1,139,,,,
32,7,30,1,,,,,
6,7,32,1,,,,,
20,7,1,2,612,,,,
35,7,3,2,,101,,,
27,7,5,2,107,,,,
3,7,7,2,467,,,,508
24,7,9,2,,,,,
29,7,11,2,,,,,
15,7,13,2,837,,,,
41,7,15,2,176,,,,
33,7,17,2,713,,414,,
10,7,19,2,562,,,,
11,7,21,2,540,,,,
26,7,23,2,,,,,
31,7,25,2,,,,,
14,7,27,2,145,,,,
34,7,29,2,,,,,
37,7,31,2,719,443,620,,
7,8,2,1,1525,1922,,,
1,8,4,1,224,,,,
41,8,6,1,,,524,,324
3,8,8,1,330,387,,,
28,8,10,1,2758,,,,
43,8,12,1,672,,,,
11,8,14,1,1580,408,,,
39,8,16,1,1276,373,,,
36,8,18,1,525,1781,1645,814,682
26,8,20,1,1028,,,,
20,8,22,1,818,318,,,
16,8,24,1,1031,99,192,,
24,8,26,1,,,,,
45,8,28,1,2028,181,,,
14,8,30,1,1647,1264,1930,,124
23,8,32,1,130,,,,
30,8,1,2,1356,291,,,
21,8,3,2,1283,689,607,,
5,8,5,2,1488,,,,570
9,8,7,2,987,162,,,
32,8,9,2,1126,1149,537,164,244
15,8,11,2,1181,1051,217,,1119
18,8,13,2,,,,,
12,8,15,2,383,432,,,132
44,8,17,2,521,622,834,371,
17,8,19,2,1417,1915,4464,945,877
25,8,21,2,,199,,,
34,8,23,2,381,,,,
35,8,25,2,1202,818,1648,324,
37,8,27,2,1015,685,103,,
38,8,29,2,326,,264,,
13,8,31,2,1100,1513,160,,
11,9,2,1,677,1067,,,
8,9,4,1,680,4782,,,
13,9,6,1,,,,,
44,9,8,1,,,,,
4,9,10,1,731,,,879,
10,9,12,1,526,,,,
15,9,14,1,,,,,
29,9,16,1,,,,,
36,9,18,1,1387,1294,,,
31,9,20,1,507,1542,,,
43,9,22,1,549,960,1155,,
32,9,24,1,,,,,
17,9,26,1,,,,,
16,9,28,1,,,,,
28,9,30,1,,,,,
33,9,32,1,,,,,
20,9,1,2,1023,124,,,
6,9,3,2,,294,,,
23,9,5,2,,,,,
41,9,7,2,3133,2504,,,
25,9,9,2,644,244,573,959,
34,9,11,2,1880,,,,
27,9,13,2,,1481,2513,,
18,9,15,2,175,,,,
35,9,17,2,918,2481,,,
3,9,19,2,,,,1318,
38,9,21,2,,,,,
19,9,23,2,,,,,
40,9,25,2,196,,,,
37,9,27,2,,,,,
39,9,29,2,753,,,,
30,9,31,2,3373,925,,,
22,10,2,1,356,,,,
1,10,4,1,,,,,
24,10,6,1,2768,1523,319,,
13,10,8,1,339,,,343,1107
38,10,10,1,176,,,,153
15,10,12,1,,,,,
37,10,14,1,285,,,,436
7,10,16,1,,,,,
36,10,18,1,,,,125,355
29,10,20,1,1356,246,,,
26,10,22,1,578,,,,
8,10,24,1,,136,,,
27,10,26,1,187,176,,,165
