seq,subj,item,cond,R1,R2,R3,R4,R5
34,1,2,1,694,1062,,,356
29,1,4,1,13947,,1325,,
14,1,6,1,1375,145,,1305,903
24,1,8,1,906,2265,2381,835,846
5,1,10,1,1675,625,1256,,1113
17,1,12,1,772,,1017,504,197
26,1,14,1,1127,1006,938,480,574
41,1,16,1,2083,610,1392,895,353
7,1,18,1,489,,404,632,469
43,1,20,1,,,599,1974,553
39,1,22,1,239,477,741,986,374
42,1,24,1,6707,341,1363,443,
37,1,26,1,,1387,433,,
23,1,28,1,2207,1272,709,,284
27,1,30,1,1112,816,203,743,1142
18,1,32,1,473,571,,1087,220
14,2,1,1,3269,1089,231,736,138
36,2,3,1,,,109,,
20,2,5,1,,322,263,,183
2,2,7,1,1831,1003,434,,103
16,2,9,1,,,,,
8,2,11,1,,,118,1228,1175
22,2,13,1,513,,,,357
40,2,15,1,212,165,1108,1116,623
4,2,17,1,,203,,,
24,2,19,1,,,,308,
33,2,21,1,,,,713,
23,2,23,1,,,,299,484
35,2,25,1,1744,1487,362,949,330
38,2,27,1,,,180,864,
30,2,29,1,,,,,423
5,2,31,1,,174,,,181
40,3,2,1,354,,,,
1,3,4,1,,,,,384
22,3,6,1,172,293,,,
14,3,8,1,,,200,,291
18,3,10,1,639,345,,,
13,3,12,1,1307,1744,866,,
24,3,14,1,740,1196,,,
9,3,16,1,,251,,,
26,3,18,1,2074,5224,,,311
28,3,20,1,,,,,
25,3,22,1,,,,,
20,3,24,1,501,651,,804,
4,3,26,1,,363,,,
6,3,28,1,1211,108,,,
32,3,30,1,255,,1032,,
5,3,32,1,1373,2900,,,
18,4,1,1,985,370,,,
28,4,3,1,304,,,,
1,4,5,1,,,,,
31,4,7,1,305,,,,
33,4,9,1,562,,,,
38,4,11,1,,,,,
44,4,13,1,,,,111,
24,4,15,1,438,108,,,
25,4,17,1,,,,,389
41,4,19,1,1970,315,,939,
16,4,21,1,,,,,
35,4,23,1,136,,,,
27,4,25,1,848,,369,,577
22,4,27,1,84,775,,460,
20,4,29,1,563,168,,1217,255
40,4,31,1,,,,,121
3,5,2,1,,,,,
12,5,4,1,,,,,
25,5,6,1,2116,,,,
39,5,8,1,,335,232,,
30,5,10,1,,,,,
35,5,12,1,,,,,
33,5,14,1,,,,,
6,5,16,1,,,,,
17,5,18,1,,,,605,
27,5,20,1,,,,,
37,5,22,1,,,,,
16,5,24,1,,,,,89
24,5,26,1,,,,,
5,5,28,1,1301,119,,,
11,5,30,1,,215,,,
1,5,32,1,,,,,
20,6,1,1,586,506,,,
15,6,3,1,,805,,,
37,6,5,1,459,863,,240,
31,6,7,1,1170,1248,150,,694
28,6,9,1,897,1069,324,424,645
23,6,11,1,279,145,395,,
19,6,13,1,,420,805,1232,709
33,6,15,1,390,585,609,,277
22,6,17,1,799,956,,276,194
14,6,19,1,1080,990,163,547,509
27,6,21,1,,,,,152
42,6,23,1,,,,,613
36,6,25,1,439,2053,,213,154
40,6,27,1,2115,3398,239,751,
7,6,29,1,1244,572,468,1689,209
18,6,31,1,446,731,,586,
25,7,2,1,,,,,
22,7,4,1,,,,,
28,7,6,1,,,,,
9,7,8,1,1266,,,,1006
4,7,10,1,107,,,,
44,7,12,1,,,,,
42,7,14,1,,,,,
11,7,16,1,,,,,
37,7,18,1,,,,,523
43,7,20,1,,,,,
7,7,22,1,364,1015,,,
18,7,24,1,,,528,171,213
8,7,26,1,,,,,
1,7,28,1,811,346,,,
21,7,30,1,,,,,
31,7,32,1,,1300,,,
