seq,subj,item,cond,R1,R2,R3,R4,R5
15,1,1,1,554,,,,
27,1,3,1,541,,141,,
12,1,5,1,,299,676,,
22,1,7,1,1053,,,,205
36,1,9,1,,992,,,
39,1,11,1,192,,,,
11,1,13,1,684,124,,,
33,1,15,1,,351,,,
34,1,17,1,590,359,,,108
40,1,19,1,481,250,425,,
25,1,21,1,489,790,,333,641
29,1,23,1,455,157,,,
24,1,25,1,2350,291,,,229
1,1,27,1,971,567,,689,
26,1,29,1,,267,,308,
21,1,31,1,,,,,137
9,1,2,2,,,,111,432
31,1,4,2,2034,,,179,
4,1,6,2,510,194,249,,
41,1,8,2,,229,,,
2,1,10,2,286,970,,,
8,1,12,2,1466,124,,,
20,1,14,2,,,,,
14,1,16,2,532,256,,,
7,1,18,2,,820,978,689,454
19,1,20,2,,,,,
38,1,22,2,1245,,1318,142,
18,1,24,2,,,149,,
35,1,26,2,,1308,235,,148
6,1,28,2,714,250,1082,1583,
17,1,30,2,,,,,
30,1,32,2,405,1207,,,
22,2,1,1,,,,,
8,2,3,1,,,176,,154
35,2,5,1,,,,180,
5,2,7,1,156,,,509,1742
14,2,9,1,,628,,,
33,2,11,1,,,,,
40,2,13,1,,,,,
24,2,15,1,337,,,340,
28,2,17,1,,,,,
16,2,19,1,,263,,,
17,2,21,1,,,,685,
31,2,23,1,381,167,372,,
27,2,25,1,218,134,,,2323
34,2,27,1,346,,,,
38,2,29,1,,,,,
18,2,31,1,,,,,
2,2,2,2,761,148,,434,
20,2,4,2,5191,131,,,
10,2,6,2,,,,,
29,2,8,2,,,,,
25,2,10,2,387,,,,
32,2,12,2,125,,,314,987
4,2,14,2,1753,599,,,813
42,2,16,2,314,116,,,
1,2,18,2,686,329,364,1034,1376
12,2,20,2,,,402,,
19,2,22,2,,,,,
13,2,24,2,,221,,,
37,2,26,2,,,342,,
7,2,28,2,,,,,
39,2,30,2,,,,,
41,2,32,2,,,,,
14,3,1,1,1496,392,150,452,
27,3,3,1,371,461,,,
11,3,5,1,1549,1105,1300,,
23,3,7,1,739,373,,,
31,3,9,1,,181,,488,
40,3,11,1,,,,,
25,3,13,1,1429,608,,,
22,3,15,1,526,,,,201
8,3,17,1,2334,3646,278,,
41,3,19,1,717,537,,,
3,3,21,1,1631,1918,,,
21,3,23,1,699,427,,,138
20,3,25,1,951,762,,,
