seq,subj,item,cond,R1,R2,R3,R4,R5,R6
11,1,1,1,2375,3182,1630,1548,1525,919
21,1,3,1,1403,2043,1490,1306,921,1126
2,1,5,1,3105,1698,1581,1066,775,1109
19,1,7,1,2509,3274,2361,2743,1622,1811
33,1,9,1,2032,2227,1177,2875,735,1042
1,1,11,1,1757,4112,3665,1442,787,2022
9,1,13,1,2494,5488,4592,2248,1161,604
36,1,15,1,1718,1089,1176,1047,810,900
24,1,17,1,2620,4739,3514,1471,1616,1724
39,1,19,1,2086,4044,3878,1170,1241,1588
25,1,21,1,1361,1450,1571,2141,5867,1335
10,1,23,1,1076,1211,2741,1033,1535,1173
42,1,25,1,2580,1476,1193,1196,1033,997
7,1,27,1,1147,4001,4334,4335,760,1052
6,1,29,1,3310,3531,3293,3937,3516,2003
27,1,31,1,875,1395,2606,972,1326,1627
13,1,2,2,4117,3550,5526,4919,5427,1267
15,1,4,2,1764,3357,2088,2658,1141,986
40,1,6,2,1034,2218,1542,1828,1135,759
30,1,8,2,1776,4260,1833,1273,2121,1473
37,1,10,2,2105,2551,2698,1728,1250,1288
23,1,12,2,7156,3761,2720,3238,3081,961
28,1,14,2,1184,1779,2198,1607,1356,1202
5,1,16,2,2285,1509,2241,3424,2125,1389
8,1,18,2,2658,3699,4000,2043,1998,996
32,1,20,2,2764,2334,1442,1484,989,803
18,1,22,2,2693,1758,2479,732,1798,2197
29,1,24,2,1539,1117,1309,2507,658,803
4,1,26,2,8572,3620,3008,1261,1168,2089
17,1,28,2,4182,1562,4339,1299,1295,2617
26,1,30,2,4194,4348,2916,1601,1725,1820
35,1,32,2,1697,3293,1256,944,1442,725
36,2,2,1,2616,2415,2153,1886,1363,2290
6,2,4,1,2129,3666,2480,1923,1129,2073
24,2,6,1,1653,1779,1620,1589,1040,931
1,2,8,1,1847,2126,1474,1375,2365,3349
10,2,10,1,1416,1557,1607,987,1174,1890
40,2,12,1,1532,2167,1439,1642,910,846
21,2,14,1,1561,1524,1259,1794,1489,1133
29,2,16,1,1974,1748,1745,1000,1201,665
14,2,18,1,1492,2283,1778,1228,1315,1281
26,2,20,1,1893,2281,1407,1500,1067,1958
19,2,22,1,1123,1782,1504,1117,1080,1072
28,2,24,1,1864,1082,1264,1394,761,1583
12,2,26,1,1864,1741,1491,1320,1472,1320
33,2,28,1,1417,1256,1891,2377,1590,2080
15,2,30,1,2008,2164,2778,1794,2150,1825
27,2,32,1,1137,2518,1244,1288,951,752
17,2,1,2,1949,2778,1110,1281,1198,1368
8,2,3,2,2450,1655,1643,1717,1180,2854
41,2,5,2,2454,1286,1214,792,918,894
22,2,7,2,2055,1638,1894,1508,1077,1255
3,2,9,2,2276,3357,2175,1688,1499,2042
31,2,11,2,2259,2083,1583,1485,899,950
30,2,13,2,2535,1776,2128,1158,2128,1183
34,2,15,2,1204,1835,1503,1710,1782,2618
5,2,17,2,1894,2095,2672,1382,1198,2050
39,2,19,2,1895,2494,2632,1171,1739,1400
38,2,21,2,1916,1475,1303,3996,1346,1830
16,2,23,2,1704,1464,1504,1166,973,2280
13,2,25,2,1138,1394,2058,1946,760,1747
20,2,27,2,2254,2697,2165,1827,794,1054
32,2,29,2,2260,2357,1562,1036,1116,1864
35,2,31,2,1963,1555,2430,1406,973,2076
18,3,2,1,4629,1657,2074,809,1027,2124
41,3,4,1,1045,1595,1122,1064,676,1078
1,3,6,1,3430,2787,1927,3703,1856,1432
16,3,8,1,1036,1092,1715,887,1169,1818
31,3,10,1,3381,1265,947,1004,1073,1162
4,3,12,1,1140,1802,1396,1284,1300,743
40,3,14,1,1056,809,1250,1518,787,598
24,3,16,1,1421,1913,2659,850,677,951
34,3,18,1,901,908,2051,2828,917,1201
12,3,20,1,4797,2295,1802,1002,919,962
35,3,22,1,838,2824,1262,838,1252,665
23,3,24,1,1570,988,930,1168,786,804
20,3,26,1,2343,2386,1671,1029,928,832
15,3,28,1,1671,2798,2443,1527,1309,3276
38,3,30,1,2719,2968,2209,767,1506,766
28,3,32,1,919,2103,1355,787,719,633
21,3,1,2,3230,3321,646,921,1045,838
8,3,3,2,1422,1575,1950,2488,1103,1891
29,3,5,2,1137,994,1000,884,910,765
5,3,7,2,1673,829,1877,1618,815,1150
13,3,9,2,1091,1806,3064,1526,1871,1047
7,3,11,2,2245,1542,1610,948,564,775
26,3,13,2,2209,1851,3068,3589,3306,392
10,3,15,2,1486,2279,1178,1019,1513,1184
33,3,17,2,2440,1718,2156,1613,861,841
3,3,19,2,2681,2245,2904,1002,1395,1717
37,3,21,2,2146,1073,848,729,1038,592
25,3,23,2,1641,1684,1734,902,837,1047
11,3,25,2,1853,2244,1881,4743,2830,1818
36,3,27,2,1172,1026,685,1695,728,576
27,3,29,2,1859,1327,1111,1245,1079,1045
39,3,31,2,1862,2920,4145,3684,1298,951
21,4,1,1,1617,4865,1025,1816,1153,1549
41,4,3,1,2259,1227,1483,1533,1208,1262
34,4,5,1,2643,3229,1457,717,661,987
10,4,7,1,3151,2881,2195,1758,808,1394
24,4,9,1,1391,1709,1296,1109,917,1019
8,4,11,1,2912,6024,1194,700,693,1191
15,4,13,1,2253,3125,2754,1959,1758,898
23,4,15,1,1099,1899,1332,1055,577,1445
17,4,17,1,2575,2433,2435,771,1008,1144
20,4,19,1,1626,1991,2077,1688,1156,2425
30,4,21,1,1777,1147,1205,1136,1086,1826
1,4,23,1,2394,2331,2164,1533,3724,1536
4,4,25,1,2290,2561,3114,1912,993,1324
7,4,27,1,3396,2760,1822,2438,1253,1355
38,4,29,1,2802,1529,990,1657,940,1568
14,4,31,1,2275,2579,1963,1233,755,2001
31,4,2,2,2144,1358,2241,1434,1204,3282
12,4,4,2,1951,3001,1063,1531,1280,1340
28,4,6,2,1401,1624,1308,1536,988,1096
5,4,8,2,1256,2347,1027,1380,2713,1448
18,4,10,2,1810,2310,2073,1412,1263,1238
40,4,12,2,1107,2202,1623,2048,1515,739
9,4,14,2,1196,1602,2112,1481,1080,1263
16,4,16,2,1924,1981,2072,798,750,673
37,4,18,2,3358,2468,2079,972,1104,1805
2,4,20,2,2151,2078,1904,3188,1265,1988
36,4,22,2,1730,2046,3894,1182,789,750
27,4,24,2,3249,2651,1666,1759,982,1209
33,4,26,2,2331,1718,2618,1084,986,1124
39,4,28,2,2280,3098,1705,2387,746,2107
3,4,30,2,6228,1594,1884,2121,2154,1675
26,4,32,2,3333,3341,2163,1559,1525,800
35,5,2,1,3837,2631,2999,2846,3148,1907
13,5,4,1,2806,7850,5771,7187,6380,3273
19,5,6,1,2802,2611,3709,4229,2423,1735
28,5,8,1,5659,3363,1431,1816,4484,5112
31,5,10,1,2329,2189,2665,2786,2071,1421
38,5,12,1,1894,3754,2805,3885,2142,2187
34,5,14,1,2624,302,2950,1929,2124,1372
30,5,16,1,4540,4881,2685,1654,1590,2473
27,5,18,1,1909,3247,2397,2465,1349,1699
23,5,20,1,3485,3485,3873,5109,1874,2089
39,5,22,1,2190,2732,2205,1682,1633,1123
4,5,24,1,8614,5291,6348,6277,1407,1712
18,5,26,1,6386,3141,3750,2815,2073,2018
26,5,28,1,15402,7928,3943,2287,1576,4523
17,5,30,1,5518,4872,4291,3674,2077,4713
5,5,32,1,5751,8122,4244,3961,1249,1528
15,5,1,2,11417,4246,2317,4739,2300,2570
9,5,3,2,6942,5862,7802,3905,2011,2889
1,5,5,2,5313,5988,2109,5008,2580,1895
40,5,7,2,3240,4746,4210,6535,3223,2614
6,5,9,2,3910,4660,3126,2396,2393,1640
24,5,11,2,3336,7460,5218,5694,1363,1139
42,5,13,2,7593,4088,3245,3507,4479,2567
11,5,15,2,9027,3216,2248,3741,3898,1277
8,5,17,2,3089,4244,3666,2966,2449,4552
21,5,19,2,3995,5126,6250,2751,2692,2834
3,5,21,2,5602,4241,4326,4015,1712,2674
33,5,23,2,4179,6378,4567,2404,2698,2717
37,5,25,2,3265,5578,3983,5178,1793,2002
12,5,27,2,2881,4057,3963,3809,2117,3026
25,5,29,2,2937,3934,3581,3043,1929,3202
22,5,31,2,2426,3496,4375,3899,2312,2121
22,6,2,1,2386,3644,3045,2046,966,870
35,6,4,1,2715,3464,2913,3059,2219,1301
9,6,6,1,1160,1212,954,902,839,940
3,6,8,1,2435,1272,1633,1081,1281,1165
12,6,10,1,1199,1141,2335,1074,1734,1479
6,6,12,1,2890,3328,2120,1814,2514,1772
37,6,14,1,3007,1743,2075,2870,1324,1058
1,6,16,1,2373,2321,3172,4025,1688,1092
24,6,18,1,2004,3271,2798,3318,2394,1019
5,6,20,1,2902,3329,1024,3042,2034,1275
14,6,22,1,3515,1405,1338,2080,2491,1534
11,6,24,1,1309,904,1065,950,585,1093
43,6,26,1,3265,2167,1214,688,823,476
39,6,28,1,4745,2173,2384,1768,884,2980
15,6,30,1,2076,4058,2418,2252,1680,1194
29,6,32,1,1570,973,3843,1225,1265,619
7,6,1,2,1558,2254,1641,1886,1172,649
27,6,3,2,839,781,1595,1565,1288,2601
40,6,5,2,1177,742,1161,673,701,659
30,6,7,2,1006,1951,1513,1061,920,1005
19,6,9,2,1218,1872,1717,2099,1956,1096
26,6,11,2,745,820,1231,1487,2271,1094
21,6,13,2,2084,2001,883,901,1418,581
25,6,15,2,438,858,628,736,678,1347
17,6,17,2,892,1047,1073,1479,3045,3178
34,6,19,2,1058,920,812,749,949,1676
16,6,21,2,1697,922,1855,3142,1544,748
32,6,23,2,2147,2548,1439,1444,651,856
33,6,25,2,2521,1005,982,2824,1189,1308
38,6,27,2,1083,1454,1566,1013,725,803
42,6,29,2,2766,1058,1009,1224,2232,2568
18,6,31,2,1104,1892,1001,1878,1049,961
16,7,2,1,1873,2163,1785,1546,1082,789
7,7,4,1,3291,3397,1722,1112,756,735
42,7,6,1,2077,1105,1463,1130,2134,661
12,7,8,1,1765,2547,1908,1868,2928,1324
1,7,10,1,2390,2012,1435,1357,1717,1042
23,7,12,1,1804,2108,909,1639,685,532
18,7,14,1,5674,1345,819,899,832,606
38,7,16,1,1172,1641,1323,873,720,687
19,7,18,1,2254,1853,1440,1057,742,679
5,7,20,1,1967,2714,1873,1949,943,974
40,7,22,1,1166,2389,2290,2194,859,1230
9,7,24,1,2972,3336,868,977,616,678
30,7,26,1,914,946,1155,726,598,972
39,7,28,1,1536,772,1707,988,974,1853
32,7,30,1,1777,1589,2309,1235,1121,864
6,7,32,1,900,4234,969,1397,1222,664
20,7,1,2,3858,2112,859,1529,1338,1023
35,7,3,2,1098,1633,1222,2036,781,1606
27,7,5,2,1149,1895,1196,748,938,681
3,7,7,2,2113,3005,1875,1806,1554,2057
24,7,9,2,864,1204,1224,2063,1015,831
29,7,11,2,1646,2400,1044,1179,740,898
15,7,13,2,2377,1922,1717,1587,1218,830
41,7,15,2,1144,1864,1238,1116,1353,1057
33,7,17,2,2430,2501,2215,1587,952,1556
10,7,19,2,2274,2123,2444,907,987,1146
11,7,21,2,2897,1759,602,1271,1104,1071
26,7,23,2,1139,1681,1300,1023,962,983
31,7,25,2,1155,1564,882,1166,764,1249
14,7,27,2,1324,1465,1433,1332,580,1168
34,7,29,2,2345,1672,1561,1310,1333,682
37,7,31,2,1784,1985,2237,2088,1149,1006
7,8,2,1,5381,4118,2419,3820,1712,2071
1,8,4,1,2778,3366,2526,1686,1899,1968
41,8,6,1,1850,1770,2009,1864,1820,4049
3,8,8,1,3039,3376,1520,1578,2605,1747
28,8,10,1,5197,2276,1484,1730,1147,1464
43,8,12,1,3547,3846,1663,1863,816,906
11,8,14,1,3671,2519,1678,1740,1413,1550
39,8,16,1,4458,2808,2884,1195,1193,1072
36,8,18,1,2351,3957,3799,3724,2152,1837
26,8,20,1,4607,1495,2141,1980,1135,1263
20,8,22,1,3425,2560,1534,1091,1084,966
16,8,24,1,4158,3072,1887,2095,1018,1880
24,8,26,1,1732,1170,2485,1071,1060,1770
45,8,28,1,5835,1490,3100,2649,1538,2747
14,8,30,1,6263,5172,3902,2495,1360,1838
23,8,32,1,1557,2637,1785,1683,1191,1132
30,8,1,2,3545,2449,1423,1487,2096,937
21,8,3,2,4346,2081,2482,3440,1676,1406
5,8,5,2,8568,3457,1931,2001,2063,1949
9,8,7,2,2937,1407,1711,2006,1301,721
32,8,9,2,2388,2678,2476,1916,1493,1408
15,8,11,2,3529,3178,1811,1436,2276,1891
18,8,13,2,2683,1764,3689,2323,1570,1648
12,8,15,2,1936,2051,1700,2044,1689,2170
44,8,17,2,5724,2729,2482,2504,1894,2106
17,8,19,2,3874,3888,7215,3118,3833,4510
25,8,21,2,2550,1991,1205,2505,2310,2271
34,8,23,2,2466,1925,2496,974,1654,1485
35,8,25,2,3218,2260,3219,2861,1779,1473
37,8,27,2,3098,3901,2693,3023,1597,1675
38,8,29,2,3696,2228,1655,1819,1444,2091
13,8,31,2,3076,3345,3282,4330,1051,1695
11,9,2,1,2837,2405,1950,1253,944,525
8,9,4,1,2852,8278,4339,918,866,960
13,9,6,1,1325,1204,1513,1392,1092,951
44,9,8,1,922,727,1094,784,1132,1143
4,9,10,1,3333,2239,1525,2375,3199,1518
10,9,12,1,1658,2532,1910,1405,1419,544
