seq,subj,item,cond,R1,R2,R3,R4,R5,R6
15,1,1,1,4384,2079,1982,1700,1944,975
27,1,3,1,2738,2274,2389,1750,1987,1444
12,1,5,1,3174,4871,5116,2531,1188,1408
22,1,7,1,5793,2099,3561,1940,1810,1556
36,1,9,1,2867,3973,1428,1434,1479,1002
39,1,11,1,3898,4098,2824,3800,1214,1847
11,1,13,1,5396,3457,3416,1398,1602,1569
33,1,15,1,4290,5339,1520,1738,1234,1807
34,1,17,1,4186,2938,3983,2167,1491,2287
40,1,19,1,6579,3149,3491,1461,1433,1753
25,1,21,1,2575,3514,3231,3456,2307,1326
29,1,23,1,5233,2371,1155,1104,1034,1087
24,1,25,1,5991,4515,1750,2174,1494,1225
1,1,27,1,4147,3402,1945,6597,1759,1175
26,1,29,1,3467,2455,3369,3305,1881,1723
21,1,31,1,6229,2182,2265,1988,3156,855
9,1,2,2,5331,2234,2711,2114,2376,1140
31,1,4,2,3667,5253,1201,1614,2016,1473
4,1,6,2,4247,2431,2489,3601,2359,1085
41,1,8,2,4637,3175,2915,2104,4423,3028
2,1,10,2,2052,4531,3218,2454,1210,1344
8,1,12,2,4364,2537,2654,2013,1634,904
20,1,14,2,3138,2058,1689,1706,1773,764
14,1,16,2,4354,2057,2312,2450,881,1277
7,1,18,2,2591,2916,3668,3116,1789,1425
19,1,20,2,3676,1696,3244,1875,1240,1176
38,1,22,2,7796,2362,5623,1964,1269,1213
18,1,24,2,3317,2796,1995,2252,956,1099
35,1,26,2,2556,4062,3262,1744,1947,2041
6,1,28,2,5444,2079,3668,5115,1751,1995
17,1,30,2,2195,2936,1728,1666,1540,1558
30,1,32,2,2310,3168,2660,1548,1007,646
22,2,1,1,3739,4611,1918,3525,5142,3013
8,2,3,1,5466,2771,4433,4978,2652,3189
35,2,5,1,5086,3094,2161,3254,2453,2772
5,2,7,1,4057,4815,3676,7253,5505,4120
14,2,9,1,2899,3420,2444,3489,2618,3826
33,2,11,1,3097,4142,2683,2634,2846,2276
40,2,13,1,4815,3443,4918,2460,3603,1132
24,2,15,1,2346,3885,3447,3567,2366,3466
28,2,17,1,4013,4921,3756,2885,5023,3895
16,2,19,1,4968,3759,5174,7189,5541,4282
17,2,21,1,192,3482,2565,4444,3753,2629
31,2,23,1,,4255,2758,2997,3600,3496
27,2,25,1,2675,3943,3714,4965,3295,3559
34,2,27,1,3903,3172,2690,4039,3539,3304
38,2,29,1,5665,2591,3694,3721,2554,4001
18,2,31,1,5022,3339,3097,3429,3034,2828
2,2,2,2,5371,4146,4176,5607,5663,3052
20,2,4,2,6094,6085,2948,5054,3785,3024
10,2,6,2,3973,3122,3423,4447,4022,3201
29,2,8,2,2642,3586,3511,3023,4913,2974
25,2,10,2,3099,3000,2458,2480,3547,2547
32,2,12,2,3426,3762,2880,6131,3179,1662
4,2,14,2,4617,5826,5469,3844,4516,5166
