seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
26,1,1,1,0,0,1,0,,1,
23,1,3,1,0,1,0,0,,1,
21,1,5,1,0,0,0,0,0,0,
66,1,7,1,0,1,1,1,0,0,
17,1,9,1,0,0,0,1,1,1,
16,1,11,1,0,0,0,0,1,1,
30,1,13,1,0,,1,1,,1,
19,1,15,1,0,1,0,1,0,1,
32,1,17,1,0,1,0,0,0,1,
53,1,19,1,0,0,0,1,0,1,
39,1,21,1,0,0,1,0,1,0,
51,1,23,1,0,0,0,1,0,1,
62,1,25,1,,1,0,0,,1,
61,1,27,1,0,0,0,1,1,1,
10,1,29,1,0,1,0,0,1,1,
56,1,31,1,0,1,0,0,0,1,
49,1,2,2,0,1,0,0,1,1,
13,1,4,2,0,0,0,0,0,1,
11,1,6,2,0,0,0,1,,1,
36,1,8,2,0,0,1,0,1,1,
5,1,10,2,0,0,0,0,0,1,
29,1,12,2,0,0,1,0,,1,
15,1,14,2,0,,,1,0,1,
38,1,16,2,0,1,0,1,0,1,
28,1,18,2,0,0,1,1,1,1,
8,1,20,2,0,0,0,0,,1,
44,1,22,2,0,0,0,0,0,0,
31,1,24,2,0,1,1,,,1,
40,1,26,2,0,0,1,1,1,1,
48,1,28,2,0,1,0,0,0,1,
33,1,30,2,0,0,1,1,0,1,
52,1,32,2,0,0,1,0,1,1,
22,2,1,1,0,0,1,1,,1,
12,2,3,1,0,0,1,0,,,
25,2,5,1,0,1,0,0,0,0,
50,2,7,1,0,0,0,0,1,0,
18,2,9,1,0,0,0,0,,1,
45,2,11,1,0,1,1,1,,1,
8,2,13,1,0,0,0,1,,1,
53,2,15,1,0,0,1,0,0,0,
39,2,17,1,0,0,0,0,0,0,
5,2,19,1,,,1,1,0,1,
9,2,21,1,0,1,1,1,0,1,
32,2,23,1,0,0,0,0,0,1,
14,2,25,1,0,0,1,0,,1,
56,2,27,1,0,0,1,1,0,0,
52,2,29,1,0,0,0,0,0,0,
30,2,31,1,0,0,0,1,0,1,
43,2,2,2,0,0,0,0,,1,
38,2,4,2,0,0,0,0,0,1,
55,2,6,2,0,0,0,0,0,,
64,2,8,2,0,0,0,0,0,0,
31,2,10,2,0,0,0,0,0,1,
49,2,12,2,0,0,0,0,,1,
15,2,14,2,,1,0,0,0,1,
28,2,16,2,0,0,0,0,0,1,
61,2,18,2,0,0,1,0,0,1,
48,2,20,2,0,1,0,0,0,0,
44,2,22,2,0,0,0,0,0,1,
16,2,24,2,0,0,0,0,,1,
10,2,26,2,0,1,0,0,0,0,
20,2,28,2,0,0,1,1,1,0,
40,2,30,2,0,0,0,0,1,1,
33,2,32,2,0,0,0,0,0,1,
43,3,1,1,0,1,0,1,0,1,1
14,3,3,1,0,0,0,0,1,1,
54,3,5,1,0,0,1,1,0,1,
19,3,7,1,0,0,0,0,,1,
65,3,9,1,0,0,1,0,0,,1
64,3,11,1,0,1,0,1,0,,
31,3,13,1,0,1,,1,0,1,
6,3,15,1,0,0,0,0,0,0,
48,3,17,1,0,0,1,0,0,0,
67,3,19,1,0,0,1,0,1,0,
23,3,21,1,0,0,0,0,,1,
17,3,23,1,,1,0,1,1,1,
59,3,25,1,0,0,,1,0,1,
42,3,27,1,0,0,1,1,1,0,
12,3,29,1,0,1,1,1,1,,1
16,3,31,1,0,1,1,0,1,1,
45,3,2,2,0,0,1,1,1,0,1
33,3,4,2,0,0,,1,1,0,
49,3,6,2,0,0,1,1,1,0,
38,3,8,2,0,0,0,1,1,0,
56,3,10,2,0,0,1,1,1,0,1
8,3,12,2,0,0,,1,1,0,
62,3,14,2,0,,1,1,0,,1
36,3,16,2,0,1,0,1,1,1,
7,3,18,2,0,0,1,0,0,1,
58,3,20,2,0,,1,0,1,0,
63,3,22,2,0,0,1,1,1,0,
30,3,24,2,0,,1,1,,1,
47,3,26,2,,1,0,1,0,0,
35,3,28,2,0,0,1,1,0,0,
25,3,30,2,0,0,0,0,,1,
18,3,32,2,0,0,0,0,0,1,1
47,4,1,1,0,1,0,,1,1,
56,4,3,1,0,1,0,1,,1,
13,4,5,1,0,0,,1,0,1,
31,4,7,1,0,0,0,1,0,1,
44,4,9,1,0,1,0,0,1,1,
15,4,11,1,0,1,1,0,1,0,
7,4,13,1,0,0,0,0,,1,
37,4,15,1,0,1,0,0,0,0,
30,4,17,1,0,1,1,0,0,1,
46,4,19,1,0,1,1,1,1,1,
53,4,21,1,0,1,1,1,0,0,
