seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
16,1,2,1,922,6801,622,2352,3434,2652,
59,1,4,1,867,2025,9826,1645,,3841,
22,1,6,1,528,1455,3284,9954,1462,1085,
36,1,8,1,1085,1345,1744,1295,1309,1248,
53,1,10,1,1662,,3711,1266,1565,1980,
65,1,12,1,1411,4161,5080,3524,2947,1871,
68,1,14,1,1822,1276,321,1381,1094,,3121
52,1,16,1,569,3646,2113,960,1397,4050,
8,1,18,1,892,1429,5449,504,2624,1903,
67,1,20,1,1072,4861,9496,1754,,,4663
64,1,22,1,1123,292,1679,304,4127,1234,
18,1,24,1,483,2148,1917,3963,,3627,
10,1,26,1,423,2713,8963,1023,3685,4198,
34,1,28,1,3199,1829,1492,4712,2541,3937,
20,1,30,1,301,2680,4606,6250,1777,4851,
58,1,32,1,1437,116,4081,1717,1449,6001,
50,1,1,2,586,3496,4570,1827,,7022,
12,1,3,2,816,1474,1936,3006,,7848,
5,1,5,2,,4533,3794,2706,1210,2435,
14,1,7,2,481,960,3588,2368,2207,3601,
27,1,9,2,994,4872,1476,1568,936,11459,
55,1,11,2,707,942,2418,2411,1749,2862,
33,1,13,2,2460,2512,2236,6735,,2834,
45,1,15,2,522,2352,224,4063,1467,2567,
57,1,17,2,1608,81,2643,2985,2020,2131,
9,1,19,2,424,2435,2724,2476,437,4819,
46,1,21,2,3106,1582,1772,2580,1258,2441,
63,1,23,2,2175,468,2843,1605,1834,2345,
35,1,25,2,1800,1256,1430,1526,2177,1225,
7,1,27,2,692,3593,281,1936,3130,8210,
56,1,29,2,390,2174,5031,3482,2723,2042,
24,1,31,2,382,1332,2136,6724,1468,4206,
8,2,2,1,3308,2528,3045,1245,2472,1467,
11,2,4,1,2795,2171,2513,1571,,2796,
63,2,6,1,1241,2838,1569,1896,947,1482,
54,2,8,1,1041,1352,1191,799,1473,2542,
17,2,10,1,1637,1907,1399,1317,1253,846,
39,2,12,1,1034,265,3598,1559,1729,599,
32,2,14,1,2420,3361,2090,1521,1678,1749,
23,2,16,1,1611,3458,2591,1442,762,1078,
48,2,18,1,1433,1683,2028,1237,981,823,
44,2,20,1,1505,2032,1500,1010,1593,1746,
16,2,22,1,,,,,,9697,
37,2,24,1,1422,1526,1258,1721,,3136,
40,2,26,1,,3827,1749,1250,1348,1125,
65,2,28,1,840,1821,3868,1206,284,3362,
10,2,30,1,1983,2232,2272,1952,2349,1566,
53,2,32,1,1218,2451,1943,766,613,614,
13,2,1,2,1863,1656,976,976,,2563,
61,2,3,2,1428,858,1192,974,1058,1024,
57,2,5,2,2531,3120,1604,873,1103,926,
35,2,7,2,1853,1719,1833,2082,1264,985,
49,2,9,2,1222,1238,1165,854,3763,4599,
45,2,11,2,1776,4555,1747,545,174,2811,
26,2,13,2,2533,1889,1287,1728,1630,1705,
22,2,15,2,1175,1379,994,590,1262,1002,
28,2,17,2,1592,2635,1357,2205,1258,1632,
30,2,19,2,2726,4006,1488,1491,1200,3033,
31,2,21,2,1667,1926,912,1499,1361,1291,
60,2,23,2,1359,969,812,957,756,1505,
38,2,25,2,1452,1436,1429,1943,778,1316,
27,2,27,2,2399,1965,2563,1229,1513,1487,
5,2,29,2,2251,2300,2336,2719,1414,1483,
52,2,31,2,1129,2260,3093,3218,886,970,
37,3,2,1,1504,1704,876,1819,756,724,
60,3,4,1,1485,1707,1724,820,1229,415,
48,3,6,1,1951,1094,1528,1125,642,602,
51,3,8,1,1378,1147,1352,1267,796,1345,
54,3,10,1,,2385,631,699,895,581,
20,3,12,1,931,1609,1211,943,853,,
23,3,14,1,857,1080,840,247,1188,758,
41,3,16,1,1668,1232,1912,962,338,460,
65,3,18,1,2365,1921,1174,877,458,314,
63,3,20,1,2173,1415,1513,1717,685,1738,
19,3,22,1,1280,419,1046,802,1629,744,
68,3,24,1,1490,1003,892,254,,1862,
28,3,26,1,3412,3297,1167,833,565,443,
39,3,28,1,2087,1208,1332,789,1525,943,
35,3,30,1,1853,1681,1198,897,1332,718,
36,3,32,1,1227,1259,1669,1171,828,574,
17,3,1,2,1347,1603,1174,882,731,613,
42,3,3,2,1835,929,1354,530,1212,1653,
66,3,5,2,1479,1176,757,885,534,440,
29,3,7,2,1938,1124,1035,400,822,1033,
13,3,9,2,1338,1144,1090,486,1257,1833,
6,3,11,2,2124,1746,966,1100,808,1476,
44,3,13,2,2557,1674,1084,1453,681,1225,
27,3,15,2,847,317,1011,,1244,493,
56,3,17,2,1849,1949,821,2177,1075,1624,
47,3,19,2,1628,1828,1380,2184,679,3428,
10,3,21,2,2515,1038,641,968,879,751,
33,3,23,2,1793,1006,1114,537,488,1225,
59,3,25,2,3853,1027,1453,966,565,1525,
50,3,27,2,2574,1393,3245,498,150,1419,
21,3,29,2,1657,1246,983,712,1283,2410,
53,3,31,2,1700,1385,1055,695,705,1849,
43,4,2,1,3828,3413,1972,1988,1680,1065,
55,4,4,1,2533,3262,3646,3789,,4565,
18,4,6,1,3592,3065,1930,2570,3062,3688,
32,4,8,1,1836,3063,1971,1073,1805,3374,
13,4,10,1,2866,2188,,4018,1886,3105,
11,4,12,1,2665,4304,2183,3971,,3102,
46,4,14,1,981,2858,2168,1957,1471,1174,
26,4,16,1,3020,4165,3849,2118,2886,158,1586
57,4,18,1,2841,3205,2832,2734,1868,1720,
65,4,20,1,3208,3173,3080,4456,2902,1806,
39,4,22,1,3102,1937,2004,1884,1003,3378,
63,4,24,1,1887,2557,1984,2318,,2954,
12,4,26,1,3742,1527,2002,2073,1594,1344,
22,4,28,1,923,6640,3162,2585,177,5910,
5,4,30,1,4183,3516,3588,3313,2065,2529,
45,4,32,1,1935,2250,2204,1919,2183,1229,
49,4,1,2,3330,3129,1384,2192,1868,2003,
35,4,3,2,2539,3513,2076,3395,,4593,
6,4,5,2,3328,2038,3587,1971,1225,1785,
24,4,7,2,5789,2301,3004,4102,1063,1558,
30,4,9,2,2367,2615,1836,1412,,4548,
40,4,11,2,1740,2402,2000,2924,372,2490,
64,4,13,2,2807,3022,3181,3386,,3842,
34,4,15,2,2436,1641,3274,3228,1761,2898,
47,4,17,2,3527,4655,2101,2146,3663,2446,
29,4,19,2,1106,6684,2649,1950,1678,2010,
8,4,21,2,4520,2218,2499,1771,1272,1879,
52,4,23,2,2417,3103,1890,3513,2089,2806,
15,4,25,2,807,3012,4952,3265,,,
67,4,27,2,2737,2302,2701,1670,1079,5520,
41,4,29,2,3405,2785,141,5430,765,5014,
48,4,31,2,4267,2624,2002,2410,1459,1657,
38,5,2,1,2238,1994,2551,1701,,2839,
43,5,4,1,1883,2449,2584,1561,1428,934,
40,5,6,1,2202,2674,1953,1934,289,2247,
31,5,8,1,1655,2275,1491,900,2002,1596,
22,5,10,1,1838,1648,2492,1442,177,2726,
18,5,12,1,1419,3495,2632,1688,,975,1156
35,5,14,1,1730,1248,1634,1462,1118,667,
15,5,16,1,3591,2228,2192,699,1501,2684,
47,5,18,1,2202,2552,1924,1324,1394,731,
16,5,20,1,4223,2595,2056,1556,150,2037,
21,5,22,1,,,,,7799,2719,
45,5,24,1,3271,1341,1141,164,1104,3400,
53,5,26,1,3124,2800,2243,481,1594,1801,
51,5,28,1,3166,1741,2412,1358,,4823,
24,5,30,1,2654,2670,2351,2260,,3979,
14,5,32,1,2017,1917,1984,1534,273,2072,
54,5,1,2,1915,2973,1173,1803,93,4850,
11,5,3,2,3020,1240,1510,1260,1444,3087,
56,5,5,2,4231,3385,1582,1292,322,1866,
36,5,7,2,3514,1263,2183,1318,755,761,
60,5,9,2,2684,1765,1497,728,153,2602,
46,5,11,2,2499,3186,2100,343,1296,2435,
29,5,13,2,2820,1405,2120,1940,388,2820,
68,5,15,2,1614,3064,2364,1274,1535,2282,
28,5,17,2,1901,1490,2132,1585,278,3462,
34,5,19,2,2297,1937,1790,1603,1160,2060,
7,5,21,2,2111,2093,1211,1638,169,2967,
25,5,23,2,2024,1340,2206,1725,706,2698,
30,5,25,2,2208,1947,1450,1813,1062,2470,
8,5,27,2,2802,1890,1622,1058,744,3057,
63,5,29,2,3885,2574,3155,1553,1737,966,
6,5,31,2,2346,2173,301,2347,1005,3603,
43,6,2,1,942,4167,1964,467,1743,1494,3564
66,6,4,1,1713,329,2543,1838,3044,4249,
64,6,6,1,2291,1057,2256,6671,698,1349,
17,6,8,1,712,3458,1593,1192,371,5348,
22,6,10,1,1066,426,2552,1409,2056,1413,
21,6,12,1,581,7653,2162,4081,,4778,
38,6,14,1,1731,1080,1668,1273,1960,846,1913
19,6,16,1,3651,1712,1948,4306,1313,1956,
28,6,18,1,5416,965,2048,2996,,2485,
42,6,20,1,1224,777,2042,2554,948,4364,
53,6,22,1,1984,2849,1145,916,338,2681,
13,6,24,1,2650,3689,3313,1441,,3307,
45,6,26,1,1916,120,1941,1534,1846,7565,
14,6,28,1,1186,5209,1303,1442,181,4212,
63,6,30,1,1004,2664,1085,1903,2020,4742,
56,6,32,1,1258,875,2380,865,1118,784,1715
57,6,1,2,2026,611,1048,2645,1237,293,
36,6,3,2,2369,1765,667,4571,,4024,
51,6,5,2,1156,1693,1701,1725,1102,2452,
68,6,7,2,1838,2786,868,1269,1940,2405,
15,6,9,2,2476,4313,1570,1086,2416,5107,
40,6,11,2,,3271,1963,1924,4087,189,
46,6,13,2,577,,4810,637,1058,240,
8,6,15,2,2034,218,4887,1074,5000,2994,
27,6,17,2,916,892,2081,1818,1938,5284,
62,6,19,2,1470,959,5187,,2631,4001,
33,6,21,2,1303,1328,2072,1388,2423,2796,
54,6,23,2,2120,439,2413,603,1993,4001,
12,6,25,2,1815,1694,,2237,1388,167,
61,6,27,2,1582,1217,1119,1708,1081,591,
7,6,29,2,4459,2542,,6531,,5932,
6,6,31,2,3531,4055,1898,1921,3668,3574,
12,7,2,1,2221,3257,1959,1155,1504,1253,
21,7,4,1,1775,3093,1657,,4430,1211,
6,7,6,1,2308,2914,298,2243,3072,1946,
17,7,8,1,1333,1388,146,2264,1252,1606,
49,7,10,1,1943,729,2280,1299,1005,650,
10,7,12,1,1883,2236,,1704,1785,2448,
19,7,14,1,2231,1266,1744,822,1596,1434,
31,7,16,1,2387,2661,3013,2114,914,1417,
28,7,18,1,2324,,2063,2466,2828,1861,
16,7,20,1,2907,1819,3620,2841,970,1114,
27,7,22,1,1599,1861,428,2501,1589,2143,
20,7,24,1,2151,1589,1267,1004,,2445,
60,7,26,1,2285,1905,1406,963,876,1042,
48,7,28,1,2323,2186,4312,1484,1344,941,
52,7,30,1,4541,2747,1455,2244,1140,724,
32,7,32,1,1549,1757,1434,1370,820,590,
43,7,1,2,1624,2725,1795,1342,,2628,
35,7,3,2,2042,1606,1583,1844,,3152,
46,7,5,2,1971,1238,2167,1507,947,1128,
29,7,7,2,2228,1336,,3110,1186,1268,
23,7,9,2,2004,218,3719,992,528,3647,
45,7,11,2,1630,1066,943,2045,231,1574,
37,7,13,2,809,3489,2085,2426,145,1558,
26,7,15,2,1659,978,2087,787,894,3962,
58,7,17,2,3358,3935,1531,1654,1872,1491,
56,7,19,2,2115,,3832,1125,1296,1459,
42,7,21,2,2895,1408,1174,1492,,2288,
