seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
16,1,2,1,1,1,1,1,0,0,
59,1,4,1,1,1,0,1,0,0,
22,1,6,1,1,1,1,0,0,0,
36,1,8,1,1,1,0,0,0,0,
53,1,10,1,0,1,0,0,0,0,
65,1,12,1,1,1,1,1,0,0,
68,1,14,1,1,1,1,1,1,0,0
52,1,16,1,1,1,0,0,0,0,
8,1,18,1,1,1,0,1,0,0,
67,1,20,1,1,1,0,0,1,0,0
64,1,22,1,1,1,1,1,1,0,
18,1,24,1,1,1,1,0,0,0,
10,1,26,1,1,1,0,1,1,0,
34,1,28,1,1,0,1,1,0,0,
20,1,30,1,1,1,1,1,1,0,
58,1,32,1,1,1,1,1,0,0,
50,1,1,2,1,1,0,0,1,0,
12,1,3,2,1,0,1,1,0,0,
5,1,5,2,1,1,1,0,0,0,
14,1,7,2,1,1,0,1,1,0,
27,1,9,2,1,0,0,1,1,0,
55,1,11,2,1,1,1,1,0,0,
33,1,13,2,1,0,0,0,1,0,
45,1,15,2,1,1,1,0,0,0,
57,1,17,2,0,1,1,0,0,0,
9,1,19,2,1,1,1,0,1,0,
46,1,21,2,0,0,1,0,0,0,
63,1,23,2,1,1,0,0,1,0,
35,1,25,2,0,0,0,0,0,0,
7,1,27,2,1,1,1,1,1,0,
56,1,29,2,1,1,1,1,0,0,
24,1,31,2,1,1,0,1,1,0,
8,2,2,1,0,0,0,0,0,0,
11,2,4,1,0,1,0,0,1,0,
63,2,6,1,0,1,0,0,1,0,
54,2,8,1,0,0,0,0,0,0,
17,2,10,1,0,0,0,0,0,0,
39,2,12,1,0,1,0,1,0,0,
32,2,14,1,0,0,0,1,0,0,
23,2,16,1,0,0,0,0,0,0,
48,2,18,1,0,0,0,0,0,0,
44,2,20,1,0,0,0,1,0,0,
16,2,22,1,1,0,0,0,0,0,
37,2,24,1,0,0,0,0,1,0,
40,2,26,1,1,0,0,0,0,0,
65,2,28,1,1,1,0,0,1,0,
10,2,30,1,0,0,0,0,0,0,
53,2,32,1,0,0,0,0,0,0,
13,2,1,2,0,1,0,0,1,0,
61,2,3,2,0,0,0,0,0,0,
57,2,5,2,1,0,0,0,0,0,
35,2,7,2,0,0,0,0,0,0,
49,2,9,2,0,1,1,0,0,0,
45,2,11,2,1,1,0,1,1,0,
26,2,13,2,0,0,0,1,1,0,
22,2,15,2,0,0,0,1,0,0,
28,2,17,2,0,0,0,1,1,0,
30,2,19,2,0,0,1,0,0,0,
31,2,21,2,1,0,0,0,0,0,
60,2,23,2,0,0,0,0,0,0,
38,2,25,2,0,0,0,0,0,0,
27,2,27,2,1,1,0,1,0,0,
5,2,29,2,1,1,0,0,0,0,
52,2,31,2,0,0,0,0,0,0,
37,3,2,1,1,0,1,0,0,0,
60,3,4,1,1,0,0,1,0,0,
48,3,6,1,0,0,1,0,0,0,
51,3,8,1,0,1,1,0,1,0,
54,3,10,1,1,0,0,0,0,0,
20,3,12,1,1,0,0,0,0,0,
23,3,14,1,1,0,0,1,0,0,
41,3,16,1,0,0,1,0,0,0,
65,3,18,1,0,0,0,0,0,0,
63,3,20,1,1,1,1,0,0,0,
19,3,22,1,0,1,1,1,0,0,
68,3,24,1,0,0,0,1,0,0,
28,3,26,1,1,0,0,0,0,0,
39,3,28,1,1,0,1,1,0,0,
35,3,30,1,1,0,1,0,0,0,
36,3,32,1,1,0,0,1,0,0,
17,3,1,2,1,1,0,0,0,0,
42,3,3,2,1,0,0,1,0,0,
66,3,5,2,0,0,0,1,0,0,
29,3,7,2,1,0,0,1,0,0,
13,3,9,2,1,0,0,1,0,0,
6,3,11,2,0,1,0,1,1,0,
44,3,13,2,1,0,0,0,0,0,
27,3,15,2,0,1,0,1,0,0,
56,3,17,2,0,0,1,0,1,0,
47,3,19,2,1,0,1,0,0,0,
10,3,21,2,0,0,0,0,0,0,
33,3,23,2,1,0,0,0,0,0,
59,3,25,2,1,0,0,0,0,0,
50,3,27,2,1,1,0,1,0,0,
21,3,29,2,1,0,1,1,0,0,
53,3,31,2,0,0,0,1,1,0,
43,4,2,1,0,0,0,0,0,0,
55,4,4,1,0,0,0,0,1,0,
18,4,6,1,0,0,0,1,0,0,
32,4,8,1,1,0,0,0,0,0,
13,4,10,1,1,1,1,0,0,0,
11,4,12,1,1,0,1,0,1,0,
46,4,14,1,1,0,0,0,0,0,
26,4,16,1,1,0,0,0,1,0,0
57,4,18,1,1,0,0,0,0,0,
65,4,20,1,1,0,0,0,0,0,
39,4,22,1,0,0,0,0,1,0,
63,4,24,1,0,0,0,1,1,0,
12,4,26,1,0,0,0,0,0,0,
22,4,28,1,1,0,0,0,1,0,
5,4,30,1,0,0,0,0,0,0,
45,4,32,1,0,0,0,0,0,0,
49,4,1,2,0,0,0,0,0,0,
35,4,3,2,0,0,1,1,1,0,
6,4,5,2,0,0,1,0,0,0,
24,4,7,2,0,0,0,0,0,0,
30,4,9,2,0,0,0,0,1,0,
40,4,11,2,1,0,0,0,0,0,
64,4,13,2,0,0,0,0,1,0,
34,4,15,2,0,0,1,1,1,0,
47,4,17,2,1,0,0,0,0,0,
29,4,19,2,1,0,0,0,0,0,
8,4,21,2,0,0,0,0,0,0,
52,4,23,2,0,0,0,0,0,0,
15,4,25,2,1,1,0,0,1,0,
67,4,27,2,0,0,0,0,1,0,
41,4,29,2,0,0,1,0,1,0,
48,4,31,2,0,0,1,0,0,0,
38,5,2,1,0,0,1,0,1,0,
43,5,4,1,0,0,0,0,0,0,
40,5,6,1,0,0,0,0,1,0,
