seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
26,1,1,1,2247,1700,1633,1308,1003,2111,
23,1,3,1,2393,1190,1281,1788,1280,1390,
21,1,5,1,5554,1112,1093,701,1327,1053,
66,1,7,1,2005,1900,2749,1450,1646,1275,
17,1,9,1,1310,1464,854,1336,1224,1234,
16,1,11,1,2163,1102,1291,1173,1261,1160,
30,1,13,1,3981,1004,2439,1577,1624,1707,
19,1,15,1,1332,1934,942,1145,1192,1163,
32,1,17,1,2216,2180,1421,1331,2390,2018,
53,1,19,1,1829,2301,3017,1423,1409,1743,
39,1,21,1,1653,3167,2105,2603,1881,2164,
51,1,23,1,1485,2236,2253,1146,1632,1672,
62,1,25,1,785,1889,2582,2157,663,1562,
61,1,27,1,2654,1048,1920,2708,1376,1839,
10,1,29,1,3299,1371,1650,2220,2233,2118,
56,1,31,1,1402,2031,1152,1367,1198,1582,
49,1,2,2,2400,2780,1346,1013,1441,1201,
13,1,4,2,2739,1632,2152,814,1783,2258,
11,1,6,2,1871,1728,2046,1501,1108,3152,
36,1,8,2,1617,2752,1803,1901,1623,2297,
5,1,10,2,3299,1477,1919,2425,2780,1652,
29,1,12,2,1506,2190,3009,1855,1494,1193,
15,1,14,2,3166,1000,1707,1227,1526,1266,
38,1,16,2,3079,1655,1639,1024,931,1009,
28,1,18,2,1764,1817,1865,1709,2114,1331,
8,1,20,2,3526,1406,1421,1628,1124,2411,
44,1,22,2,849,1779,1237,1194,1485,2266,
31,1,24,2,2578,1591,2183,1566,1739,1977,
40,1,26,2,1894,1613,1838,2146,2009,864,
48,1,28,2,4870,1993,2167,1075,1458,2062,
33,1,30,2,2128,2459,2461,2004,1435,2055,
52,1,32,2,1105,1655,2085,1612,1690,877,
22,2,1,1,2029,2190,1827,2344,1813,1828,
12,2,3,1,1801,1668,2702,1737,1802,2028,
25,2,5,1,2367,1592,1916,1803,1543,1455,
50,2,7,1,2763,1399,1912,1523,1006,1903,
18,2,9,1,1334,2595,1348,1367,1424,1972,
45,2,11,1,2078,3290,2420,2201,1869,2209,
8,2,13,1,3630,1844,2552,3101,2157,2544,
53,2,15,1,1627,1889,673,1237,1877,1414,
39,2,17,1,1480,1593,2279,1313,1169,2206,
5,2,19,1,3733,2489,2886,1464,1592,2026,
9,2,21,1,2621,1809,3340,2400,1366,2295,
32,2,23,1,1212,1277,1564,1316,1270,1617,
14,2,25,1,1598,2490,3508,3174,1426,1354,
56,2,27,1,1639,2102,2321,1475,1236,2020,
52,2,29,1,2317,1372,1837,1420,1986,1173,
30,2,31,1,1929,1340,2178,2230,1356,1562,
43,2,2,2,2551,1669,2951,2008,2433,1391,
38,2,4,2,1748,3740,2062,1763,1623,1541,
55,2,6,2,1748,1677,2235,1516,2112,1057,
64,2,8,2,2260,2019,1599,1335,1549,2295,
31,2,10,2,1886,1428,1660,1305,1646,2303,
49,2,12,2,1461,2659,1350,1645,1587,1269,
15,2,14,2,1635,2250,2635,2320,1752,833,
28,2,16,2,1250,2809,3231,1903,1168,1414,
61,2,18,2,2277,2778,2963,2714,1317,1788,
48,2,20,2,2059,2074,1935,1783,1614,819,
44,2,22,2,1892,1606,1880,1663,1775,2806,
16,2,24,2,3653,1990,1838,2358,1851,2680,
10,2,26,2,1947,1181,3215,3057,1810,1499,
20,2,28,2,1671,2191,2108,1885,2735,1986,
40,2,30,2,2086,1883,2234,2332,2715,2267,
33,2,32,2,1681,2436,1877,1643,1184,1173,
43,3,1,1,2217,2374,1889,980,1742,1406,145
14,3,3,1,2334,1839,924,1833,687,3736,
54,3,5,1,948,2107,912,583,1009,1563,
19,3,7,1,2825,1700,3628,1994,1111,2340,
65,3,9,1,1760,2521,984,1502,912,1924,220
64,3,11,1,1999,3916,4153,1972,871,1568,
31,3,13,1,2719,2284,1586,1323,430,2151,413
6,3,15,1,1859,930,1315,1949,2240,1372,
48,3,17,1,1471,272,739,1544,830,3030,
67,3,19,1,1099,1332,1962,1810,1583,2327,
23,3,21,1,1496,1736,1387,960,972,2235,
17,3,23,1,2931,2320,2798,2866,1357,1433,
59,3,25,1,2170,1557,868,1513,1047,1957,
42,3,27,1,1830,722,644,1439,936,3474,
12,3,29,1,3767,1302,5325,1273,1468,1453,133
16,3,31,1,4009,3278,2751,583,1054,2410,
45,3,2,2,2362,3030,2887,2942,1793,1577,767
33,3,4,2,3554,4548,808,2426,1486,3200,
49,3,6,2,1497,336,2243,1656,392,1760,145
38,3,8,2,1223,1529,3834,1211,314,3004,
56,3,10,2,825,3093,1435,1971,916,2667,142
8,3,12,2,3220,5683,2212,1976,1433,1454,416
62,3,14,2,1600,1238,2141,1113,650,2070,596
36,3,16,2,2754,2360,1364,2057,1682,2467,
7,3,18,2,1506,1714,2153,1326,1511,2747,
58,3,20,2,1717,1206,898,2057,1097,2239,
63,3,22,2,1439,1193,996,1080,1320,3581,
30,3,24,2,1912,676,1111,1142,215,2137,
47,3,26,2,1559,1160,554,1076,1190,1994,
35,3,28,2,2512,1106,2357,3338,2569,4532,
25,3,30,2,1993,3721,1661,1317,1303,3836,
18,3,32,2,1625,1650,1704,960,915,1935,326
47,4,1,1,3208,4165,1836,1307,2044,1810,
56,4,3,1,1567,1106,1868,1344,692,2360,
13,4,5,1,4016,2648,1144,1763,1260,1809,
31,4,7,1,2784,2060,2052,1836,1515,1500,
44,4,9,1,1176,2413,1138,1062,1369,2265,
15,4,11,1,4801,3243,2696,720,1523,2175,
7,4,13,1,2619,3221,2031,1994,1609,1970,
37,4,15,1,1509,1718,1413,1154,1520,1939,
30,4,17,1,7091,3486,2344,956,2403,1695,
46,4,19,1,1156,3848,3629,2913,813,2930,
53,4,21,1,2705,1777,2075,3399,1185,1752,
33,4,23,1,2984,2602,4002,1616,1270,2241,
6,4,25,1,2453,2572,2634,2444,1463,2096,
17,4,27,1,1725,1432,2060,1676,1526,2043,
