seq,subj,item,cond,R1,R2,R3,R4,R5,R6
11,1,2,1,5660,3410,2240,1702,1852,1364
36,1,4,1,2571,5788,4155,2025,1343,1925
15,1,6,1,2072,4397,6640,1627,1462,993
23,1,8,1,1212,1536,1744,1295,1543,1177
30,1,10,1,2339,2442,963,1377,1454,1357
40,1,12,1,2637,7216,2720,2808,1171,700
42,1,14,1,1952,1505,1282,1535,1472,816
29,1,16,1,3736,2960,2303,1415,1041,1045
4,1,18,1,3434,2855,1675,1506,1118,1657
41,1,20,1,8145,6122,2916,1729,1327,1271
39,1,22,1,1430,1289,1568,1503,1664,1050
13,1,24,1,2919,2551,2164,1844,952,1023
6,1,26,1,3581,6785,3659,2899,2456,1231
21,1,28,1,3710,3131,3829,2848,2307,1639
14,1,30,1,3863,5727,2909,3728,1662,2275
35,1,32,1,2608,3673,2248,3150,1724,1188
27,1,1,2,3142,5671,2365,2900,2046,1042
7,1,3,2,2290,1829,2011,3556,2328,2790
1,1,5,2,4748,1989,2044,2890,1135,1690
9,1,7,2,2722,2934,1419,2245,1562,1842
18,1,9,2,4701,3383,2379,5525,3131,1638
32,1,11,2,1183,3159,1454,1645,1061,1280
20,1,13,2,3300,4411,3868,2207,1438,1281
25,1,15,2,1696,2182,2297,1986,1433,1108
34,1,17,2,1502,2954,1472,1513,2020,1651
5,1,19,2,2343,2756,2970,1428,1574,1820
26,1,21,2,2873,1819,1919,3073,1258,1573
38,1,23,2,2545,1464,1307,2516,1989,1196
22,1,25,2,1679,1119,1430,1526,2085,1317
3,1,27,2,2509,2485,4341,4534,2354,1368
33,1,29,2,3670,2616,2401,3274,1847,1702
17,1,31,2,3975,4643,1445,2859,1710,1236
2,2,2,1,2993,2423,3045,1245,2472,1467
5,2,4,1,2592,2400,2087,1737,1533,1097
40,2,6,1,1144,2838,1387,1896,1227,1121
33,2,8,1,780,1155,1191,799,1473,2542
10,2,10,1,1582,1907,1399,1317,1253,846
24,2,12,1,982,1576,2022,1886,1402,599
19,2,14,1,2107,3248,2090,2278,1829,841
13,2,16,1,1578,3458,2491,1442,656,1078
28,2,18,1,1244,1683,2028,1237,981,823
26,2,20,1,1450,1783,1500,1568,1593,1188
9,2,22,1,1843,2422,1427,1062,1442,1243
22,2,24,1,1227,1409,1142,2289,857,1711
25,2,26,1,1507,2212,1749,1250,1348,1008
42,2,28,1,2229,1660,2208,1282,1330,2032
4,2,30,1,1795,2232,1980,2143,2349,1472
32,2,32,1,1001,2276,1309,766,613,614
7,2,1,2,1671,1776,868,1150,1310,959
38,2,3,2,977,858,1192,974,1208,775
35,2,5,2,3583,1809,1506,873,1365,664
20,2,7,2,1687,1632,1649,2173,1173,985
29,2,9,2,1210,2073,2371,1266,1130,836
27,2,11,2,1876,4320,1356,1077,1398,937
14,2,13,2,2130,1800,1287,1918,2037,1007
12,2,15,2,978,1313,851,939,913,1002
16,2,17,2,1360,2635,1357,2509,1643,943
17,2,19,2,2732,3812,1968,1491,1200,2553
18,2,21,2,1789,1575,912,1499,1361,1291
37,2,23,2,1113,969,812,957,756,1513
23,2,25,2,1341,1436,1429,1959,679,1316
15,2,27,2,2546,1723,2256,1721,1021,1487
1,2,29,2,2196,2674,2265,2673,1232,923
31,2,31,2,859,2260,3093,3218,886,970
18,3,2,1,1973,1829,1050,886,808,424
36,3,4,1,1163,1568,1661,1364,728,574
26,3,6,1,1629,981,1883,796,657,800
29,3,8,1,1056,1396,1254,1085,1321,959
32,3,10,1,848,1152,585,758,871,783
8,3,12,1,757,1465,1014,1100,877,160
10,3,14,1,1003,1082,712,622,838,425
21,3,16,1,1293,1091,2066,900,441,548
39,3,18,1,1883,1919,1066,926,486,496
38,3,20,1,3027,1784,1420,1349,753,702
7,3,22,1,955,953,901,742,1316,865
42,3,24,1,1137,961,959,913,526,764
12,3,26,1,4193,1847,1169,827,500,655
20,3,28,1,1806,1199,1319,1028,858,1154
16,3,30,1,1829,1134,1038,851,1602,718
17,3,32,1,1550,631,795,1519,635,552
5,3,1,2,1206,1677,1109,845,746,565
22,3,3,2,1493,908,1099,668,1356,1777
40,3,5,2,1119,1080,870,808,551,655
13,3,7,2,1850,986,1012,675,506,851
3,3,9,2,1809,1984,1079,905,745,425
1,3,11,2,1768,2073,1025,1049,714,1405
24,3,13,2,3055,1587,1173,1327,744,467
11,3,15,2,377,783,480,367,1011,615
34,3,17,2,1408,1786,1236,1991,1208,1573
25,3,19,2,1679,1429,2076,2770,1165,1660
2,3,21,2,2071,1087,636,1000,929,777
15,3,23,2,1811,1020,1050,516,549,997
35,3,25,2,4457,1040,1246,1132,630,666
28,3,27,2,2759,2321,1780,933,491,781
9,3,29,2,1600,1247,1441,1778,1092,898
31,3,31,2,1353,1382,959,1665,1132,690
27,4,2,1,3745,3413,1891,1988,1680,1065
36,4,4,1,2338,3148,3646,3838,2190,2249
10,4,6,1,3555,3065,1833,2776,3317,3115
19,4,8,1,2154,2329,1884,957,2301,2786
7,4,10,1,2848,2372,1499,2335,1886,2578
5,4,12,1,2673,3956,3363,2915,1567,1318
30,4,14,1,2052,1520,2168,2054,1374,1174
15,4,16,1,3229,3379,3732,2118,1312,1200
38,4,18,1,2866,2982,2960,2388,1868,1720
41,4,20,1,3172,2895,3080,4456,2902,1806
24,4,22,1,2804,2279,2429,1768,1748,1895
39,4,24,1,1712,2557,1984,2894,1147,1231
6,4,26,1,3332,1527,1951,2073,1501,1344
12,4,28,1,5330,2018,3267,2724,2278,3258
1,4,30,1,3841,3516,3588,3334,1976,2529
29,4,32,1,1694,2535,2141,1603,2183,1229
33,4,1,2,2806,3129,1384,2192,1868,1991
22,4,3,2,2083,3513,2076,3449,2150,2354
2,4,5,2,3327,2038,3737,1609,1225,1785
13,4,7,2,5198,2395,2910,4102,1063,1558
17,4,9,2,2120,2615,1720,1582,2397,1993
25,4,11,2,1472,2124,1902,3486,950,1350
40,4,13,2,2630,3022,3181,3524,2180,1524
21,4,15,2,2159,1850,3086,3001,1934,2725
31,4,17,2,5268,2720,2101,2146,3663,2446
16,4,19,2,4385,3171,2537,1967,1678,2010
